Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Victor Wembanyama,2023,1,France,2004,19,7-3,87,43,43,32.20,20.67,7.23,15.42,0.47,1.26,4.60,0.27,4.95,6.02,0.82,1.72,8.44,10.16,2.47,0.79,2.98,2.84,2.14,0.57,0.51,7.04,29.60,19.19,14.56,13.57,1.29,9.53,30.49,156.42,-3.62,1.34,110.30,100.50,25.07
Scoot Henderson,2023,1,G-League,2004,19,6-2,74,19,18,30.70,16.53,6.05,14.11,0.43,0.74,2.68,0.28,2.21,2.89,0.76,1.05,4.32,5.37,6.47,1.00,0.53,3.47,3.26,0.54,0.46,3.81,16.51,9.98,30.94,18.43,1.64,1.63,26.81,146.73,2.79,1.17,99.20,123.90,13.31
Bilal Coulibaly,2023,1,France,2004,19,6-6,78,36,17,20.20,6.08,2.25,4.28,0.53,0.50,1.39,0.36,1.08,1.78,0.61,0.89,2.17,3.06,1.00,0.89,0.17,1.08,1.78,0.60,0.58,5.87,11.99,9.20,7.81,17.63,2.33,0.83,14.38,149.53,-2.03,1.42,110.30,109.10,12.11
James Nnaji,2023,1,Spain,2004,19,6-11,83,35,9,10.50,4.34,1.77,2.54,0.70,0.00,0.00,0.00,0.80,1.49,0.54,1.06,1.54,2.60,0.26,0.23,0.63,0.80,1.31,0.68,0.70,13.86,17.96,16.03,4.11,20.02,1.21,6.01,18.32,123.51,-6.14,1.71,116.60,100.50,18.47
Leonard Miller,2023,1,G-League,2003,20,6-10,82,24,19,30.60,17.96,7.25,13.04,0.56,0.71,2.17,0.33,1.58,2.00,0.79,3.21,7.75,10.96,1.58,0.92,0.88,1.50,2.50,0.65,0.58,11.56,28.34,19.89,8.58,9.73,1.51,2.69,22.07,167.45,-1.48,1.38,120.40,117.90,21.80
Tristan Vukčević,2023,1,ABA,2003,20,7-0,84,22,9,14.80,8.09,2.95,5.09,0.58,0.82,2.05,0.40,1.36,1.68,0.81,0.77,2.41,3.18,1.05,0.50,0.50,1.14,2.18,0.69,0.66,7.95,20.86,14.96,11.51,16.31,1.87,3.66,23.11,179.12,-3.00,1.59,125.30,103.60,21.53
Rayan Rupert,2023,1,NBL,2004,19,6-7,79,28,18,17.30,5.93,2.00,5.71,0.35,0.54,2.29,0.23,1.39,1.96,0.71,0.50,1.64,2.14,0.89,0.71,0.18,1.07,1.89,0.45,0.40,3.30,10.88,7.09,8.30,14.01,2.16,1.03,20.17,129.35,-2.87,1.04,91.60,104.40,8.30
Sidy Cissoko,2023,1,G-League,2004,19,6-7,79,28,28,29.30,12.82,4.32,9.46,0.46,1.11,3.64,0.30,1.75,2.71,0.65,0.82,2.00,2.82,3.50,1.21,1.00,1.93,3.32,0.60,0.52,3.12,7.66,5.38,16.83,15.32,2.10,3.19,18.99,140.53,1.42,1.35,105.70,123.00,12.54
Mojave King,2023,1,G-League,2002,21,6-5,77,30,8,25.10,8.10,2.93,7.10,0.41,0.57,2.33,0.24,0.97,1.20,0.81,1.03,3.70,4.73,1.17,0.40,0.30,0.77,1.53,0.53,0.45,4.48,16.18,10.31,6.55,9.13,0.81,1.10,14.77,146.16,0.05,1.14,102.50,124.20,8.99
Tarik Biberović,2023,1,Turkey,2001,22,6-7,79,24,6,14.60,5.29,1.83,4.67,0.39,1.00,2.88,0.35,0.62,0.71,0.88,0.71,1.75,2.46,0.54,0.38,0.08,0.79,2.04,0.53,0.50,6.14,15.97,10.93,5.70,13.72,1.41,0.60,18.83,162.30,-2.91,1.13,105.10,111.10,9.75
Jalen Green,2022,1,G-League,2002,20,6-6,78,15,15,32.00,17.93,6.27,13.60,0.46,2.07,5.67,0.37,1.93,2.33,0.83,0.53,3.53,4.07,2.80,1.53,0.27,2.67,1.73,0.61,0.54,1.87,11.59,6.90,13.51,15.42,2.35,0.76,23.25,165.41,-2.50,1.32,102.20,111.90,15.38
Dyson Daniels,2022,1,G-League,2003,19,6-8,80,29,29,31.60,11.62,4.62,10.21,0.45,1.03,3.45,0.30,0.83,1.55,0.53,1.86,4.93,6.79,4.72,2.00,0.69,2.69,2.17,0.53,0.50,6.41,17.41,11.85,22.09,19.81,3.14,2.04,18.72,128.60,1.47,1.14,99.90,108.30,14.48
Ousmane Dieng,2022,1,NBL,2003,19,6-10,82,23,11,20.80,8.87,3.48,8.74,0.40,1.13,4.17,0.27,0.78,1.17,0.67,0.48,2.65,3.13,1.00,0.61,0.30,1.39,1.48,0.48,0.46,2.58,15.60,8.82,8.90,13.07,1.54,1.31,24.07,133.55,-3.58,1.01,89.20,111.80,10.66
Nikola Jović,2022,1,ABA,2003,19,6-11,83,25,19,27.80,11.72,4.04,9.44,0.43,1.68,4.72,0.36,1.96,2.60,0.75,0.88,3.56,4.44,3.36,0.56,0.40,2.72,2.44,0.55,0.52,3.83,15.47,9.66,21.41,20.44,1.09,1.48,22.57,153.77,-1.67,1.24,101.00,110.30,13.32
Gabriele Procida,2022,1,Italy,2002,20,6-6,78,26,7,18.50,6.96,2.27,4.35,0.52,0.88,2.31,0.38,1.54,1.96,0.78,0.58,2.42,3.00,0.69,0.81,0.35,0.73,0.96,0.50,0.46,5.57,10.13,7.85,5.56,13.03,1.80,1.79,21.12,139.38,-3.51,1.11,98.60,116.50,9.57
Jaden Hardy,2022,1,G-League,2002,20,6-4,76,25,25,32.60,19.48,6.88,18.28,0.38,2.32,7.52,0.31,2.16,2.72,0.79,0.60,3.72,4.32,3.56,1.24,0.16,3.36,2.40,0.50,0.44,1.95,12.75,7.20,17.76,14.71,1.89,0.47,30.47,147.90,-3.06,1.07,88.80,113.10,9.93
Khalifa Diop,2022,1,Spain,2002,20,6-10,82,34,6,16.30,6.97,2.74,4.26,0.64,0.00,0.00,0.00,1.50,2.59,0.58,1.74,2.59,4.32,0.47,0.50,0.65,1.35,3.09,0.65,0.64,13.59,21.03,17.24,5.16,20.02,1.69,4.59,19.54,122.09,-6.35,1.63,113.40,109.60,17.37
Ismaël Kamagate,2022,1,France,2001,21,6-11,83,34,33,27.10,11.26,4.35,6.76,0.64,0.00,0.00,0.00,2.56,3.91,0.65,2.38,3.88,6.26,0.71,0.68,1.56,1.74,1.79,0.66,0.64,11.50,18.55,15.05,4.79,16.98,1.36,6.03,18.00,129.76,-4.63,1.67,119.00,114.10,19.48
Matteo Spagnolo,2022,1,Italy,2003,19,6-6,78,25,23,27.00,12.24,4.28,9.72,0.44,1.20,2.72,0.44,2.48,2.88,0.86,0.60,2.92,3.52,2.60,0.76,0.04,2.64,2.20,0.56,0.50,2.61,13.21,7.80,17.29,19.37,1.51,0.14,23.75,174.26,-3.29,1.26,100.50,112.30,13.16
Karlo Matković,2022,1,ABA,2001,21,6-11,83,25,13,22.00,11.56,4.80,7.92,0.61,0.00,0.12,0.00,1.96,2.76,0.71,2.72,3.36,6.08,1.08,0.48,1.12,1.60,3.08,0.63,0.61,15.11,18.64,16.88,10.11,14.91,1.19,5.27,22.93,131.62,-3.87,1.46,117.70,106.60,22.67
Yannick Nzosa,2022,1,Spain,2003,19,6-10,82,29,0,11.10,2.31,1.00,2.66,0.38,0.00,0.21,0.00,0.31,0.45,0.69,0.97,1.07,2.03,0.24,0.34,0.69,0.66,1.62,0.41,0.38,10.72,12.94,11.78,3.30,18.68,1.69,6.34,14.91,106.89,-4.40,0.87,86.00,108.10,7.56
Gui Santos,2022,1,Brazil,2002,20,6-8,80,37,24,25.60,10.14,3.49,8.08,0.43,0.92,3.08,0.30,2.24,3.00,0.75,1.19,3.86,5.05,1.97,0.76,0.81,1.95,2.32,0.54,0.49,6.03,17.94,12.25,12.92,17.15,1.61,3.58,21.23,147.74,-2.49,1.25,105.10,103.70,15.52
Luke Travers,2022,1,NBL,2001,21,6-7,79,27,6,22.00,7.81,2.96,7.11,0.42,0.63,2.52,0.25,1.26,1.85,0.68,1.41,3.96,5.37,2.33,0.85,0.67,1.56,0.89,0.49,0.46,7.23,18.90,13.28,16.33,16.41,1.99,2.78,19.12,134.67,0.00,1.10,102.50,103.80,15.29
Hugo Besson,2022,1,NBL,2001,21,6-3,75,25,19,27.40,13.92,4.68,12.12,0.39,1.92,6.24,0.31,2.64,3.32,0.80,0.52,3.44,3.96,2.28,0.60,0.04,1.80,2.72,0.51,0.47,2.14,15.58,8.53,15.21,11.70,1.16,0.13,26.32,148.90,-1.05,1.15,99.90,115.80,13.44
Josh Giddey,2021,1,NBL,2002,19,6-8,80,28,26,32.10,10.79,4.04,9.50,0.43,1.04,3.54,0.29,1.68,2.43,0.69,1.11,6.29,7.39,7.39,1.11,0.46,3.29,1.54,0.51,0.48,4.02,20.79,12.80,36.31,23.72,1.79,1.42,19.55,140.89,5.09,1.14,102.80,108.70,14.78
Jonathan Kuminga,2021,1,G-League,2002,19,6-7,79,13,13,32.80,15.85,5.54,14.31,0.39,1.23,5.00,0.25,2.31,3.69,0.63,1.15,6.00,7.15,2.69,1.00,0.85,2.62,2.08,0.50,0.43,3.90,19.33,11.80,12.42,14.10,1.49,2.31,24.20,125.83,-2.49,1.11,90.00,110.00,11.50
Alperen Şengün,2021,1,Turkey,2002,19,6-10,82,34,31,28.00,18.62,6.74,10.76,0.63,0.21,0.97,0.21,4.94,6.09,0.81,3.76,5.09,8.85,2.71,1.29,1.53,2.47,3.09,0.69,0.64,18.12,23.08,20.67,18.26,15.52,2.54,5.69,26.48,164.94,-2.36,1.73,131.80,107.00,30.30
Usman Garuba,2021,1,Euroleague,2002,19,6-8,80,39,20,16.30,3.92,1.54,3.05,0.50,0.28,1.05,0.27,0.56,0.95,0.60,1.26,2.77,4.03,0.74,0.59,0.69,1.13,1.67,0.57,0.55,10.36,22.50,16.48,7.42,24.54,2.06,4.61,14.06,136.71,-3.88,1.29,102.10,106.30,12.44
Isaiah Todd,2021,1,G-League,2001,20,6-10,82,15,2,24.40,12.33,4.87,11.13,0.44,1.13,3.13,0.36,0.93,1.13,0.82,0.80,4.07,4.87,0.80,0.47,0.73,1.53,2.53,0.53,0.49,3.69,17.49,10.83,5.09,11.65,0.94,2.75,23.21,162.24,-4.09,1.11,95.10,111.90,12.27
Rokas Jokubaitis,2021,1,Euroleague,2000,21,6-4,76,31,5,20.90,6.97,2.65,5.90,0.45,0.61,1.58,0.39,1.00,1.32,0.76,0.42,1.32,1.74,2.52,0.55,0.00,1.52,1.61,0.54,0.50,2.88,8.78,5.89,20.43,18.95,1.52,0.00,19.60,159.19,0.79,1.18,104.00,115.80,10.58
Juhann Begarin,2021,1,France-2,2002,19,6-5,77,33,32,26.80,11.91,4.42,9.64,0.46,1.55,4.24,0.36,1.52,2.36,0.64,0.48,3.00,3.48,3.12,1.36,0.48,2.30,1.70,0.56,0.54,2.36,13.63,8.19,19.26,17.74,2.71,1.74,22.63,146.44,-0.82,1.24,105.60,101.70,15.61
Filip Petrušev,2021,1,ABA,2000,21,6-11,83,21,19,32.00,23.62,8.76,15.14,0.58,1.24,2.95,0.42,4.86,6.57,0.74,1.90,5.67,7.57,1.62,0.48,1.10,2.24,2.52,0.66,0.62,8.03,20.44,14.72,11.23,11.04,0.80,3.26,30.11,173.71,-3.48,1.56,122.20,108.60,27.24
Georgios Kalaitzakis,2021,1,Greece,1999,22,6-7,79,11,3,12.50,3.91,1.09,3.00,0.36,0.36,1.73,0.21,1.36,1.64,0.83,0.18,1.55,1.73,1.18,0.73,0.18,1.18,2.36,0.53,0.42,1.96,14.89,8.79,13.83,24.11,3.26,1.65,18.58,140.75,-3.19,1.30,99.50,94.40,9.48
Killian Hayes,2020,1,Germany,2001,19,6-5,77,20,20,25.00,11.60,4.20,8.45,0.50,0.60,2.75,0.22,2.60,3.05,0.85,0.50,2.60,3.10,5.25,1.35,0.20,3.45,3.00,0.59,0.53,2.61,12.47,7.75,35.59,26.05,2.84,0.86,24.48,156.77,0.20,1.37,106.10,110.20,15.47
Deni Avdija,2020,1,Euroleague,2001,19,6-9,81,26,5,14.30,4.04,1.58,3.62,0.44,0.50,1.81,0.28,0.38,0.69,0.56,0.58,2.04,2.62,1.15,0.38,0.23,0.73,2.00,0.52,0.51,5.09,18.21,11.61,13.03,15.71,1.48,1.82,15.63,126.83,0.26,1.12,104.60,106.60,10.49
Aleksej Pokuševski,2020,1,Greece,2001,19,7-0,84,11,8,23.10,10.82,3.82,9.45,0.40,1.55,4.82,0.32,1.64,2.09,0.78,1.27,6.64,7.91,3.09,1.27,1.82,1.82,1.45,0.52,0.49,6.93,35.72,21.41,24.98,14.91,3.08,8.50,25.91,150.72,1.06,1.14,105.40,84.40,25.09
Leandro Bolmaro,2020,1,Spain,2000,20,6-6,78,9,2,12.90,5.11,1.89,4.22,0.45,0.67,1.44,0.46,0.67,0.78,0.86,0.33,0.67,1.00,1.67,0.67,0.33,1.22,1.89,0.56,0.53,3.75,6.17,5.08,19.46,21.12,2.76,2.89,20.92,176.60,-0.85,1.21,106.90,112.20,13.09
Théo Maledon,2020,1,Euroleague,2001,19,6-5,77,22,12,17.70,7.41,2.59,5.68,0.46,0.82,2.23,0.37,1.41,2.05,0.69,0.18,1.59,1.77,3.14,0.32,0.09,1.86,2.91,0.56,0.53,1.33,13.71,7.03,32.55,22.07,1.03,0.54,23.49,151.22,1.30,1.30,103.70,119.60,12.21
Vít Krejčí,2020,1,Spain,2000,20,6-7,79,23,2,9.10,3.74,1.43,2.35,0.61,0.35,1.00,0.35,0.52,0.74,0.71,0.30,0.87,1.17,0.65,0.26,0.13,0.70,1.87,0.70,0.69,4.12,10.92,7.65,12.07,20.65,1.54,1.56,17.16,166.48,-2.80,1.59,116.90,112.00,13.98
Marko Simonović,2020,1,ABA,1999,21,7-0,84,21,19,29.40,16.24,5.67,11.29,0.50,0.81,2.57,0.32,4.10,5.05,0.81,3.24,4.38,7.62,1.24,1.14,1.14,2.38,3.86,0.60,0.54,12.67,17.75,15.17,8.69,14.99,2.05,3.94,24.10,162.82,-5.05,1.44,115.00,110.10,21.12
Yam Madar,2020,1,Israel,2000,20,6-3,75,32,17,24.40,10.06,3.59,8.09,0.44,0.72,2.69,0.27,2.16,2.66,0.81,0.59,1.81,2.41,3.38,1.00,0.19,2.06,2.12,0.54,0.49,2.66,8.62,5.55,22.92,18.21,2.08,0.77,20.52,152.32,0.76,1.24,102.80,106.80,12.67
Sekou Doumbouya,2019,1,France,2000,19,6-8,80,29,13,19.20,7.69,3.00,6.38,0.47,0.86,2.59,0.33,0.83,1.07,0.77,0.86,2.34,3.21,0.72,0.72,0.52,1.10,2.21,0.56,0.54,5.98,15.41,10.82,6.22,13.87,2.07,2.65,20.15,157.78,-3.23,1.21,104.40,112.20,13.67
Goga Bitadze,2019,1,ABA,1999,20,6-11,83,19,6,20.40,10.37,3.21,5.32,0.60,0.42,1.05,0.40,3.53,5.63,0.63,1.37,3.42,4.79,0.42,0.47,1.26,1.42,3.79,0.67,0.64,8.65,21.75,15.18,3.97,15.42,1.29,7.25,21.77,163.01,-5.64,1.95,118.70,104.60,20.61
Luka Šamanić,2019,1,ABA,2000,19,6-10,82,20,9,15.80,6.35,2.30,4.60,0.50,0.25,1.20,0.21,1.50,2.15,0.70,0.55,3.25,3.80,0.75,0.30,0.25,1.25,1.85,0.57,0.53,4.49,24.50,14.89,9.29,18.39,1.06,1.56,20.59,140.60,-4.80,1.38,102.00,109.70,13.85
Marcos Louzada Silva,2019,1,Brazil,1999,20,6-5,77,33,11,18.90,9.67,3.30,7.27,0.45,1.15,3.15,0.37,1.91,2.55,0.75,0.79,2.06,2.85,0.97,0.58,0.09,1.15,1.91,0.58,0.53,5.43,12.91,9.35,8.79,12.07,1.66,0.50,24.59,156.96,-2.69,1.33,110.10,107.30,16.58
Deividas Sirvydis,2019,1,Lithuania,2000,19,6-8,80,40,16,14.10,4.38,1.43,4.00,0.36,0.93,2.92,0.32,0.60,0.75,0.80,0.50,1.43,1.93,0.90,0.55,0.07,0.47,1.32,0.51,0.47,4.84,13.37,9.17,10.32,9.89,2.21,0.56,16.68,147.25,0.91,1.09,110.90,110.70,10.89
Alen Smailagić,2019,1,G-League,2000,19,6-10,82,47,4,17.40,9.06,3.43,6.91,0.50,0.40,1.66,0.24,1.81,2.74,0.66,2.13,1.87,4.00,0.98,0.87,0.94,1.36,2.32,0.56,0.53,12.95,12.00,12.49,8.58,14.36,2.39,5.01,22.68,139.79,-4.14,1.31,109.30,99.70,18.24
Vanja Marinković,2019,1,ABA,1997,22,6-6,78,23,19,28.10,12.17,3.83,9.52,0.40,1.65,5.04,0.33,2.87,3.83,0.75,0.17,2.17,2.35,1.78,0.61,0.09,1.39,2.61,0.54,0.52,1.39,11.26,6.45,6.65,9.16,1.43,0.77,19.08,148.89,-0.87,1.15,106.80,117.40,10.69
Luka Dončić,2018,1,Euroleague,1999,19,6-7,79,33,17,25.90,16.03,4.73,10.48,0.45,1.73,5.24,0.33,4.85,5.94,0.82,0.82,4.03,4.85,4.30,1.09,0.33,2.30,1.55,0.61,0.53,4.18,19.48,12.04,30.38,14.95,2.34,1.31,28.79,159.67,2.13,1.53,122.00,109.40,22.89
Džanan Musa,2018,1,ABA,1999,19,6-9,81,25,6,23.70,12.48,4.00,8.40,0.48,1.16,3.68,0.32,3.32,4.04,0.82,0.76,2.56,3.32,1.60,1.08,0.08,1.36,1.72,0.61,0.55,4.31,15.29,9.66,12.51,11.79,2.63,0.38,24.48,161.32,-1.29,1.49,119.00,106.20,19.62
Élie Okobo,2018,1,France,1997,21,6-3,75,36,33,26.50,13.81,4.83,9.89,0.49,2.06,4.92,0.42,2.25,2.69,0.84,0.39,2.33,2.72,4.72,0.92,0.19,2.81,2.00,0.62,0.59,1.91,11.66,6.74,31.70,20.21,1.92,0.72,25.39,174.19,1.28,1.40,113.60,112.90,19.01
Isaac Bonga,2018,1,Germany,1999,19,6-8,80,33,11,21.30,6.00,1.76,4.18,0.42,0.36,1.06,0.34,2.12,2.30,0.92,0.73,2.33,3.06,2.30,1.00,0.45,2.15,2.21,0.58,0.46,4.69,15.25,9.93,18.52,29.29,2.67,2.42,17.31,168.42,-2.96,1.43,99.70,107.20,10.99
Rodions Kurucs,2018,1,Spain-2,1998,20,6-9,81,16,4,20.80,10.69,3.81,8.56,0.45,1.19,3.56,0.33,1.88,2.44,0.77,0.75,1.81,2.56,1.50,1.50,0.75,1.94,3.31,0.56,0.52,4.31,9.98,7.20,13.59,16.74,3.92,3.29,26.17,154.78,-4.30,1.25,103.30,102.10,17.22
Issuf Sanon,2018,1,Ukraine,1999,19,6-4,76,13,0,9.60,2.38,1.00,2.77,0.36,0.08,1.23,0.06,0.31,0.69,0.44,0.15,0.54,0.69,1.15,0.77,0.23,0.92,1.54,0.39,0.38,1.88,6.09,4.07,16.69,23.09,3.96,2.43,19.41,86.81,-1.51,0.86,77.30,94.90,6.12
Arnoldas Kulboka,2018,1,Italy,1998,20,6-10,82,29,25,26.00,8.31,2.59,7.07,0.37,1.62,4.41,0.37,1.52,1.86,0.82,0.31,3.17,3.48,0.69,0.90,0.17,1.38,1.10,0.53,0.48,1.48,14.87,8.23,4.67,14.88,1.89,0.66,17.47,154.79,-3.57,1.18,95.40,114.70,9.57
Frank Ntilikina,2017,1,France,1998,19,6-5,77,45,32,19.30,5.38,2.11,4.64,0.46,0.60,1.58,0.38,0.56,0.93,0.60,0.96,1.31,2.27,1.51,0.73,0.20,0.89,2.40,0.53,0.52,6.51,8.70,7.62,13.11,14.95,2.19,1.12,15.18,143.01,0.62,1.16,108.70,105.90,11.88
Terrance Ferguson,2017,1,NBL,1998,19,6-7,79,30,17,15.20,4.63,1.77,4.63,0.38,0.70,2.23,0.31,0.40,0.67,0.60,0.47,0.67,1.13,0.60,0.23,0.27,0.93,1.73,0.47,0.46,3.57,4.54,4.08,5.75,15.93,0.76,1.54,16.20,129.47,-3.33,1.00,92.90,114.60,5.37
Anžejs Pasečņiks,2017,1,Spain,1995,22,7-1,85,35,11,16.50,7.83,3.11,4.74,0.66,0.20,0.34,0.58,1.40,2.26,0.62,1.23,1.89,3.11,0.29,0.37,0.66,0.69,1.89,0.68,0.68,9.80,14.76,12.30,3.08,10.68,1.23,4.25,18.24,186.02,-2.97,1.65,130.40,105.30,20.71
Jonah Bolden,2017,1,ABA,1996,21,6-10,82,25,23,27.70,12.88,4.80,10.16,0.47,1.76,4.20,0.42,1.52,2.60,0.59,2.64,4.60,7.24,1.80,1.04,1.00,2.12,2.96,0.57,0.56,11.55,22.08,16.57,12.66,15.79,1.98,3.82,21.97,147.61,-3.22,1.27,107.60,104.30,19.07
Isaiah Hartenstein,2017,1,Lithuania,1998,19,7-0,84,29,6,12.70,4.72,1.69,3.45,0.49,0.28,0.97,0.29,1.07,1.52,0.71,0.93,2.52,3.45,0.66,0.90,0.55,1.17,2.45,0.57,0.53,10.87,27.75,19.55,7.89,22.17,3.95,5.33,20.62,148.03,-5.94,1.37,102.70,81.60,17.51
Vlatko Čančar,2017,1,ABA,1997,20,6-8,80,21,9,18.60,8.19,2.71,5.81,0.47,1.05,2.57,0.41,1.71,2.00,0.86,0.81,2.05,2.86,1.62,1.00,0.33,1.43,3.57,0.61,0.56,4.99,14.04,9.28,16.05,17.60,2.81,1.78,19.25,173.18,-1.80,1.41,114.00,105.30,16.58
Mathias Lessort,2017,1,France,1995,22,6-9,81,36,34,22.90,10.22,4.11,7.17,0.57,0.06,0.06,1.00,1.94,3.28,0.59,2.97,4.25,7.22,0.67,0.67,1.03,1.78,2.61,0.59,0.58,16.56,23.89,20.21,5.33,17.12,1.66,4.33,22.15,216.69,-5.80,1.43,112.30,102.90,21.88
Aleksandar Vezenkov,2017,1,Euroleague,1995,22,6-9,81,30,6,18.40,7.53,2.73,4.73,0.58,1.13,2.37,0.48,0.93,1.10,0.85,0.83,2.40,3.23,1.13,0.67,0.20,0.63,1.53,0.72,0.70,6.04,16.83,11.52,12.62,10.82,2.10,1.17,16.16,190.48,0.68,1.59,135.50,107.40,20.03
Ognjen Jaramaz,2017,1,ABA,1995,22,6-4,76,25,13,27.00,10.80,3.48,9.84,0.35,1.12,4.56,0.25,2.72,3.72,0.73,0.76,1.92,2.68,3.56,0.96,0.08,1.80,2.40,0.47,0.41,3.30,9.15,6.08,22.59,13.56,1.85,0.30,21.71,133.05,2.04,1.10,102.80,109.80,12.14
Alpha Kaba,2017,1,ABA,1996,21,6-10,82,25,24,24.60,10.88,4.08,8.04,0.51,0.48,1.76,0.27,2.24,3.28,0.68,3.04,4.48,7.52,0.68,1.48,0.76,2.36,2.96,0.57,0.54,14.36,23.62,18.74,5.11,19.93,3.15,3.12,21.34,146.31,-7.46,1.35,104.20,101.80,18.96
Dragan Bender,2016,1,Israel,1997,19,7-1,85,28,3,14.50,5.50,1.93,4.14,0.47,0.86,2.32,0.37,0.79,1.07,0.73,1.04,1.96,3.00,0.75,0.61,0.89,0.61,2.68,0.60,0.57,8.80,16.55,12.69,8.40,11.63,2.21,6.22,16.60,156.81,-0.74,1.33,118.80,96.90,16.82
Georgios Papagiannis,2016,1,Greece,1997,19,7-2,86,22,5,12.00,6.82,3.00,4.41,0.68,0.00,0.00,0.00,0.82,1.23,0.67,1.23,1.64,2.86,0.50,0.23,0.73,0.73,1.95,0.69,0.68,13.78,16.42,15.17,8.56,12.81,1.05,6.48,22.71,134.71,-3.24,1.55,125.10,93.10,26.56
Juancho Hernangómez,2016,1,Spain,1995,21,6-9,81,34,22,23.70,9.68,3.15,6.91,0.46,1.00,2.79,0.36,2.38,3.32,0.72,1.71,4.03,5.74,0.56,0.82,0.26,1.35,1.29,0.58,0.53,9.00,23.47,15.88,4.39,13.91,1.93,1.23,19.77,153.00,-4.11,1.40,110.50,110.50,16.56
Guerschon Yabusele,2016,1,France,1995,21,6-8,80,34,17,28.70,11.50,4.26,7.91,0.54,0.76,1.79,0.43,2.21,2.88,0.77,2.56,4.26,6.82,1.06,1.09,0.44,1.62,2.47,0.63,0.59,11.45,19.43,15.40,7.25,14.98,2.14,1.56,18.92,173.06,-3.13,1.45,117.60,116.30,18.77
Ante Žižić,2016,1,ABA,1997,19,6-11,83,22,14,25.50,12.91,4.55,7.18,0.63,0.00,0.00,0.00,3.82,5.45,0.70,2.55,5.27,7.82,0.41,0.14,1.36,2.27,2.41,0.67,0.63,12.68,24.30,18.72,3.58,19.17,0.30,5.48,22.80,133.29,-7.86,1.80,115.40,102.20,24.28
Timothé Luwawu-Cabarrot,2016,1,ABA,1995,21,6-7,79,28,28,31.10,14.64,4.86,12.21,0.40,2.07,5.57,0.37,2.86,4.14,0.69,1.07,3.71,4.79,2.75,1.68,0.36,2.93,3.75,0.52,0.48,3.68,14.29,8.68,16.36,17.26,2.86,1.42,23.90,145.91,-3.35,1.20,101.50,97.40,16.41
