Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Ricky Rubio,2009,1,Spain,1990,19,6-3,75,25,18,22.70,9.76,2.72,6.80,0.40,1.00,2.40,0.42,3.32,4.12,0.81,0.76,1.96,2.72,5.84,2.20,0.32,3.08,2.36,0.57,0.47,4.24,11.33,7.73,43.73,26.34,5.38,1.54,24.56,162.25,3.55,1.44,109.70,101.80,20.92
Víctor Claver,2009,1,Spain,1988,21,6-10,82,18,12,22.90,7.61,2.56,5.28,0.48,0.94,2.56,0.37,1.56,2.22,0.70,0.89,3.61,4.50,0.61,1.17,0.61,1.33,2.11,0.61,0.57,5.19,22.32,13.51,4.77,17.57,2.92,3.17,16.11,155.38,-4.12,1.44,112.10,103.40,15.53
Omri Casspi,2009,1,Euroleague,1988,21,6-9,81,16,8,17.50,8.75,3.25,6.44,0.51,0.56,1.25,0.45,1.69,2.19,0.77,1.06,2.06,3.12,0.44,0.81,0.19,1.12,2.38,0.59,0.55,8.40,14.68,11.71,4.70,13.20,2.64,1.22,23.92,172.63,-4.68,1.36,113.10,112.40,18.62
Rodrigue Beaubois,2009,1,France,1988,21,6-1,73,29,12,22.30,10.00,3.97,8.38,0.47,1.34,4.24,0.32,0.72,1.24,0.58,0.38,2.14,2.52,2.34,1.10,0.45,1.93,2.86,0.56,0.55,2.00,12.12,6.87,18.51,17.79,2.75,2.03,22.69,137.37,-1.63,1.19,105.00,105.20,15.58
Sergio Llull,2009,1,Euroleague,1987,22,6-3,75,19,4,19.00,6.95,2.32,4.95,0.47,1.00,2.63,0.38,1.32,1.42,0.93,0.42,0.63,1.05,2.21,0.47,0.21,0.79,2.26,0.62,0.57,2.99,4.86,3.88,21.71,12.41,1.48,1.36,16.45,177.40,3.70,1.40,132.50,115.90,16.04
Jonas Jerebko,2009,1,Italy,1987,22,6-10,82,39,39,25.50,9.21,3.56,7.03,0.51,0.74,2.10,0.35,1.33,1.77,0.75,2.08,3.38,5.46,0.62,1.23,0.36,1.23,2.56,0.59,0.56,10.55,17.13,13.84,4.19,13.62,2.60,1.53,16.48,161.46,-3.16,1.31,118.20,109.30,15.49
Henk Norel,2009,1,Spain,1987,22,7-0,84,24,3,12.40,5.54,2.17,3.79,0.57,0.04,0.21,0.20,1.17,1.71,0.68,1.04,1.71,2.75,0.46,0.21,0.33,0.83,2.38,0.61,0.58,11.05,18.46,14.72,6.81,15.50,0.94,3.09,20.75,145.44,-4.22,1.46,114.70,109.30,16.47
Nando de Colo,2009,1,France,1987,22,6-5,77,27,24,28.20,14.67,4.96,11.19,0.44,1.63,4.63,0.35,3.11,3.56,0.88,0.52,3.04,3.56,3.30,1.00,0.07,2.44,2.78,0.58,0.52,2.18,13.62,7.72,20.15,16.09,1.95,0.27,24.98,167.07,-0.86,1.31,112.30,106.90,17.71
Emir Preldžić,2009,1,Euroleague,1987,22,6-9,81,16,7,22.60,7.31,2.38,6.62,0.36,0.75,3.06,0.25,1.81,2.25,0.81,1.25,2.50,3.75,2.50,1.12,0.25,2.12,2.69,0.48,0.42,7.21,15.09,11.06,22.06,21.82,2.89,1.15,21.58,140.89,-2.05,1.10,96.10,105.10,12.34
Michael Foster Jr,2022,0,G-League,2003,19,6-8,80,28,27,30.50,15.61,6.07,13.11,0.46,0.32,1.43,0.23,1.79,2.32,0.77,2.21,7.39,9.61,2.25,0.75,1.93,2.61,1.86,0.55,0.48,7.80,26.91,17.20,11.92,15.58,1.22,6.07,23.93,145.74,-3.68,1.19,95.90,107.50,15.82
Daishen Nix,2021,0,G-League,2002,19,6-5,77,15,2,26.50,8.80,3.20,8.33,0.38,0.40,2.27,0.18,1.33,1.87,0.71,0.80,4.53,5.33,5.27,1.00,0.20,2.87,1.60,0.48,0.41,3.39,17.93,10.91,27.46,23.85,1.84,0.69,19.49,127.48,2.42,1.06,90.40,111.10,10.66
Nadir Hifi,2023,0,France,2002,21,6-3,75,33,29,30.50,16.76,5.61,12.06,0.47,1.85,5.36,0.35,3.70,4.39,0.84,0.45,2.24,2.70,3.39,1.33,0.03,2.09,2.61,0.60,0.54,1.86,8.94,5.45,21.27,13.00,2.40,0.10,25.29,165.08,0.57,1.39,116.30,110.20,18.38
Marcio Santos,2023,0,Brazil,2002,21,6-9,81,47,15,17.80,8.02,2.83,5.43,0.52,0.28,1.17,0.24,2.09,2.87,0.73,1.21,2.89,4.11,0.68,0.26,0.72,1.23,2.64,0.60,0.55,8.84,17.97,13.77,6.18,15.57,0.76,4.39,20.96,148.39,-4.37,1.48,113.10,105.40,16.51
Ziga Samar,2022,0,Spain,2001,21,6-6,78,30,27,20.70,7.60,2.73,5.63,0.49,0.80,1.70,0.47,1.33,1.73,0.77,0.63,2.07,2.70,4.73,1.03,0.13,1.67,3.07,0.59,0.56,3.75,12.75,8.16,36.61,20.67,2.71,0.70,18.25,172.50,7.11,1.35,120.30,113.60,17.02
Pavel Savkov,2022,0,Spain-2,2002,20,6-7,79,32,19,23.10,12.28,4.12,9.66,0.43,1.84,4.78,0.39,2.19,2.59,0.84,0.38,2.16,2.53,1.25,0.75,0.09,2.06,2.44,0.57,0.52,2.08,11.92,7.01,10.34,16.04,1.80,0.41,26.83,165.62,-5.25,1.27,104.40,111.90,15.32
Kai Sotto,2022,0,NBL,2002,20,7-3,87,23,2,15.20,7.61,2.70,5.30,0.51,0.22,0.57,0.39,2.00,2.91,0.69,1.09,3.39,4.48,0.57,0.30,0.74,1.30,2.70,0.58,0.53,7.47,24.66,15.82,6.62,16.53,1.04,4.77,22.73,157.94,-6.20,1.43,106.20,105.00,16.96
Ibou Badji,2022,0,Spain-2,2002,20,7-1,85,37,31,20.50,8.49,3.51,6.11,0.58,0.00,0.03,0.00,1.46,2.03,0.72,1.59,2.59,4.19,0.30,0.51,1.22,1.35,1.73,0.61,0.58,9.81,14.78,12.39,2.64,16.18,1.37,6.37,19.31,129.52,-5.46,1.39,111.30,105.60,18.27
Vrenz Bleijenbergh,2021,0,Belgium,2000,21,6-10,82,31,25,26.80,9.48,3.16,8.71,0.36,1.74,5.39,0.32,1.42,1.97,0.72,0.55,4.84,5.39,3.90,1.48,0.58,2.77,2.35,0.50,0.46,2.53,21.42,12.18,23.11,22.46,3.04,2.17,21.80,140.76,-0.63,1.09,95.40,100.30,13.12
Biram Faye,2021,0,Spain-2,2000,21,6-9,81,25,0,18.00,7.48,3.08,5.32,0.58,0.16,0.36,0.44,1.16,1.64,0.71,1.72,3.24,4.96,0.24,0.44,0.48,1.08,2.88,0.62,0.59,12.42,24.37,18.28,2.46,15.17,1.38,3.02,19.72,173.07,-5.04,1.41,114.90,103.80,18.78
Amar Sylla,2021,0,Belgium,2001,20,6-9,81,33,8,20.80,9.33,3.85,7.45,0.52,0.18,1.15,0.16,1.45,2.18,0.67,1.64,4.03,5.67,0.52,0.58,1.06,1.18,1.73,0.56,0.53,11.17,24.17,18.09,4.81,12.32,1.58,5.76,23.06,134.08,-4.15,1.25,107.50,92.20,18.60
Terry Armstrong,2020,0,NBL,2000,20,6-8,80,8,0,2.20,0.25,0.00,0.25,0.00,0.00,0.12,0.00,0.25,0.25,1.00,0.12,0.12,0.25,0.25,0.00,0.00,0.00,0.50,0.35,0.00,7.15,6.74,6.94,12.62,0.00,0.00,0.00,7.12,100.00,7.51,1.00,126.50,130.20,3.87
Sam Froling,2020,0,NBL,2000,20,6-11,83,17,0,12.60,6.00,2.41,5.24,0.46,0.24,0.88,0.27,0.94,1.29,0.73,1.18,2.12,3.29,0.47,0.18,0.06,0.53,1.94,0.52,0.48,9.51,20.74,14.59,6.58,8.36,0.70,0.51,21.57,145.46,-1.72,1.15,107.90,121.00,12.93
Sacha Killeya-Jones,2020,0,Poland,1998,22,6-11,83,14,2,15.30,10.64,4.14,6.79,0.61,0.00,0.00,0.00,2.36,3.64,0.65,1.43,2.43,3.86,0.50,0.64,0.86,1.43,2.64,0.63,0.61,13.28,19.77,16.74,5.83,14.55,2.33,6.70,31.02,125.76,-7.44,1.57,115.30,93.70,25.02
Alex Mudronja,2020,0,NBL,1999,21,6-5,77,4,0,3.10,2.25,0.75,1.50,0.50,0.00,0.50,0.00,0.75,1.00,0.75,0.25,0.25,0.50,0.25,0.00,0.00,0.50,0.75,0.58,0.50,7.50,8.04,7.77,12.94,20.49,0.00,0.00,30.66,125.00,-9.88,1.50,102.60,124.70,12.30
Kouat Noi,2020,0,NBL,1997,23,6-7,79,22,16,23.50,9.50,3.45,8.27,0.42,1.18,3.45,0.34,1.41,2.09,0.67,1.64,4.14,5.77,1.23,0.64,0.27,1.68,2.00,0.52,0.49,8.57,18.48,13.92,7.94,15.47,1.38,1.06,20.52,143.36,-3.74,1.15,102.20,115.00,11.48
Kai Toews,2020,0,Japan,1998,22,6-2,74,12,0,10.20,5.75,2.42,4.75,0.51,0.58,1.67,0.35,0.33,0.33,1.00,0.17,0.67,0.83,1.83,0.17,0.00,0.58,1.08,0.59,0.57,1.87,8.51,4.97,32.18,10.64,0.92,0.00,25.56,185.88,6.31,1.21,119.70,106.80,18.32
Adrian Bogucki,2020,0,Poland,1999,21,7-1,85,22,16,24.90,10.86,4.36,7.55,0.58,0.00,0.05,0.00,2.14,3.14,0.68,1.86,5.36,7.23,1.41,0.68,0.50,1.59,2.86,0.61,0.58,8.72,25.89,17.17,11.02,15.13,1.46,2.13,19.94,125.95,-2.71,1.44,113.90,106.10,18.52
Paul Eboua,2020,0,Italy,2000,20,6-7,79,18,12,21.60,7.39,2.50,5.44,0.46,0.44,1.72,0.26,1.94,3.11,0.63,2.56,2.72,5.28,0.83,0.67,0.72,1.22,2.94,0.54,0.50,11.59,15.37,13.27,6.65,15.21,1.60,3.06,16.71,134.22,-2.93,1.36,109.90,117.60,14.79
Mouhamed Thiam,2020,0,France,2001,19,6-10,82,15,1,5.90,0.80,0.40,1.27,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.67,0.87,0.27,0.20,0.20,0.53,2.33,0.32,0.32,3.87,13.66,8.62,6.51,29.63,1.71,3.48,13.18,31.58,-5.89,0.63,58.80,93.70,-1.35
Yago dos Santos,2019,0,Brazil,1999,20,5-10,70,26,24,27.40,13.23,3.85,8.96,0.43,1.92,5.19,0.37,3.62,4.19,0.86,0.38,3.23,3.62,4.77,0.85,0.00,2.58,1.46,0.61,0.54,1.68,13.28,7.66,29.42,19.26,1.62,0.00,22.08,166.19,2.15,1.48,117.60,106.40,18.11
Matas Jogela,2019,0,Lithuania,1998,21,6-6,78,44,31,20.30,11.55,4.50,8.61,0.52,1.14,3.14,0.36,1.41,1.80,0.79,1.55,3.48,5.02,1.07,0.57,0.32,1.11,2.18,0.61,0.59,9.91,21.47,15.80,10.90,10.59,1.55,1.60,24.27,166.96,-2.03,1.34,122.90,105.70,23.31
William McDowell-White,2019,0,Germany,1998,21,6-5,77,12,4,15.90,6.42,2.33,5.58,0.42,0.50,2.42,0.21,1.25,2.00,0.63,0.58,2.17,2.75,3.42,1.25,0.08,0.92,1.33,0.50,0.46,4.71,16.39,10.74,37.95,12.42,4.27,0.51,22.31,124.98,8.65,1.15,110.60,100.20,18.81
Adam Mokoka,2019,0,ABA,1998,21,6-5,77,18,18,27.60,11.17,3.67,9.61,0.38,1.28,4.00,0.32,2.56,3.83,0.67,1.28,2.44,3.72,3.11,1.22,0.17,2.94,3.83,0.49,0.45,5.05,10.47,7.65,20.36,20.67,2.29,0.66,22.16,136.76,-2.96,1.16,94.30,109.60,10.14
Joshua Obiese,2019,0,Germany,2000,19,6-6,78,12,0,15.00,5.50,1.67,4.00,0.42,0.33,1.67,0.20,1.83,2.08,0.88,0.33,1.50,1.83,1.00,0.50,0.33,1.25,1.33,0.56,0.46,3.00,13.79,8.35,10.40,20.27,1.78,2.68,19.99,149.67,-3.82,1.38,98.10,114.80,9.44
Yovel Zoosman,2019,0,Euroleague,1998,21,6-7,79,30,2,14.80,3.03,1.13,2.47,0.46,0.40,1.07,0.38,0.37,0.43,0.85,0.50,1.50,2.00,1.17,0.67,0.23,0.77,1.60,0.57,0.54,4.17,13.47,8.65,11.88,22.39,2.54,1.59,11.15,168.06,0.07,1.23,108.50,108.90,9.98
Brian Bowen,2019,0,NBL,1998,21,6-7,79,30,0,15.40,6.30,2.13,4.73,0.45,0.43,1.27,0.34,1.60,2.10,0.76,0.93,2.23,3.17,0.67,0.23,0.30,0.80,1.30,0.56,0.50,7.11,15.74,11.59,6.64,12.39,0.79,1.66,19.40,155.47,-2.39,1.33,110.40,111.40,13.79
Elijah Clarence,2019,0,Germany,1998,21,6-4,76,9,0,8.50,3.22,1.11,3.22,0.35,0.11,0.89,0.13,0.89,1.22,0.73,0.56,0.56,1.11,0.44,0.11,0.11,1.00,1.44,0.43,0.36,8.40,9.69,9.00,9.57,21.01,0.74,1.51,26.86,119.71,-8.60,1.00,82.60,122.30,2.87
Adonys Henriquez,2019,0,Argentina,1994,25,6-6,78,44,5,18.30,8.86,3.14,6.55,0.48,1.32,3.39,0.39,1.27,1.73,0.74,0.82,2.00,2.82,1.05,0.61,0.02,0.98,1.11,0.61,0.58,5.68,12.83,9.40,9.67,11.80,1.79,0.13,21.37,160.53,-1.53,1.35,116.90,111.40,18.06
Marcus LoVett,2019,0,Serbia,1996,23,6-0,72,18,16,31.60,20.56,7.61,14.17,0.54,2.61,5.28,0.50,2.72,3.44,0.79,0.39,2.72,3.11,4.33,1.28,0.06,3.28,2.33,0.66,0.63,1.48,9.68,5.73,25.45,17.29,2.01,0.17,26.95,182.23,-1.19,1.45,113.00,111.20,20.98
Darel Poirier,2019,0,G-League,1997,22,6-10,82,40,32,20.10,9.05,3.65,7.28,0.50,0.40,1.20,0.33,1.35,2.10,0.64,1.05,3.08,4.12,0.80,0.33,1.02,1.52,2.35,0.55,0.53,5.65,16.58,11.11,6.01,15.68,0.76,4.45,19.98,147.79,-4.89,1.24,100.80,110.80,12.38
Biwali Bayles,2022,0,NBL,2002,20,6-2,74,17,0,10.10,3.53,1.29,3.41,0.38,0.35,1.35,0.26,0.59,0.94,0.63,0.12,1.29,1.41,1.06,0.29,0.18,0.88,0.94,0.46,0.43,1.31,12.31,7.23,16.70,18.74,1.46,1.64,20.73,126.52,-1.71,1.03,87.80,103.70,8.40
Oliver Hayes-Brown,2022,0,NBL,2000,22,6-10,82,8,0,3.50,1.00,0.38,0.62,0.60,0.00,0.00,0.00,0.25,0.25,1.00,0.62,0.75,1.38,0.12,0.00,0.12,0.12,0.25,0.68,0.60,19.71,21.30,20.55,5.22,14.53,0.00,3.09,10.92,160.00,-1.21,1.60,144.60,101.50,19.31
Bul Kuol,2022,0,NBL,1997,25,6-7,79,28,26,28.00,10.39,3.25,8.61,0.38,2.29,6.54,0.35,1.61,1.96,0.82,0.46,2.18,2.64,1.25,1.00,0.07,1.07,2.96,0.55,0.51,1.88,8.52,5.25,7.65,10.16,1.81,0.24,16.64,154.55,-0.84,1.21,108.00,111.40,10.19
Makur Maker,2022,0,NBL,2000,22,6-10,82,21,6,15.80,7.71,2.24,4.95,0.45,0.71,2.14,0.33,2.52,3.24,0.78,1.19,4.05,5.24,0.67,0.29,0.29,1.24,2.00,0.61,0.52,8.76,24.34,17.34,6.66,16.26,0.91,1.73,21.62,156.47,-4.97,1.56,113.60,100.70,17.44
Lat Mayen,2023,0,NBL,1998,25,6-9,81,16,2,11.70,2.94,1.06,3.12,0.34,0.56,2.00,0.28,0.25,0.25,1.00,0.50,1.75,2.25,0.12,0.31,0.06,0.75,0.56,0.45,0.43,4.57,16.49,10.44,1.59,18.82,1.33,0.50,14.71,162.12,-5.63,0.94,83.20,105.80,5.61
Owen Hulland,2021,0,NBL,1999,22,7-0,84,10,0,1.60,0.20,0.10,0.50,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.10,0.60,0.20,0.20,0.00,25.82,13.89,0.00,16.67,0.00,0.00,17.22,20.00,-6.28,0.40,36.50,114.20,-9.35
Isaac White,2021,0,NBL,1998,23,6-2,74,31,0,11.10,4.35,1.55,3.68,0.42,0.65,1.97,0.33,0.61,0.68,0.91,0.35,1.19,1.55,0.52,0.23,0.00,0.65,0.97,0.55,0.51,3.16,12.31,7.40,7.22,13.96,1.06,0.00,18.44,165.37,-2.71,1.18,105.10,111.20,10.55
Tryggvi Hlinason,2018,0,Spain,1997,21,7-1,85,17,1,5.80,2.59,1.18,1.65,0.71,0.00,0.00,0.00,0.24,0.41,0.57,0.59,0.71,1.29,0.12,0.24,0.18,0.59,1.53,0.71,0.71,14.89,16.09,15.52,3.90,24.34,2.36,3.38,21.44,128.57,-9.35,1.57,111.50,105.50,17.31
Michal Kolenda,2018,0,Poland,1997,21,6-8,80,30,22,17.30,6.93,2.63,4.90,0.54,0.60,1.80,0.33,1.07,1.47,0.73,0.83,1.37,2.20,0.33,0.40,0.10,0.83,1.93,0.63,0.60,6.34,9.94,8.18,3.27,13.06,1.26,0.60,17.90,159.80,-3.58,1.41,115.10,113.40,12.94
Williams Narance,2018,0,France-2,1997,21,6-8,80,36,22,21.30,7.81,2.86,6.47,0.44,0.75,2.31,0.33,1.39,2.14,0.65,1.69,2.81,4.50,1.17,1.11,0.47,1.36,1.83,0.53,0.50,10.03,17.28,13.58,10.28,15.51,2.94,2.57,20.13,141.67,-2.82,1.21,104.10,96.30,16.72
LiAngelo Ball,2018,0,Lithuania,1998,20,6-5,77,14,6,21.70,12.64,4.43,10.43,0.43,2.43,5.86,0.42,1.36,2.14,0.63,1.07,1.79,2.86,0.86,0.64,0.14,1.21,2.14,0.56,0.54,5.53,10.50,7.86,7.58,9.65,1.60,0.64,26.49,147.26,-2.93,1.21,108.30,120.30,15.69
Darin Johnson,2018,0,G-League,1995,23,6-5,77,45,8,17.20,6.33,2.20,5.27,0.42,0.38,1.22,0.31,1.56,2.24,0.69,0.56,1.29,1.84,0.69,0.40,0.11,1.07,1.58,0.51,0.45,3.50,8.00,5.77,6.01,14.57,1.11,0.50,17.77,141.99,-3.52,1.20,97.10,114.80,7.55
Will Magnay,2018,0,NBL,1998,20,6-10,82,6,0,6.30,2.17,0.83,2.50,0.33,0.00,0.17,0.00,0.50,0.50,1.00,1.00,0.50,1.50,0.33,0.00,0.00,0.17,0.67,0.40,0.33,20.18,9.16,14.40,8.30,5.77,0.00,0.00,20.38,133.33,0.87,0.87,105.10,126.40,9.59
Billy Preston,2018,0,ABA,1997,21,6-10,82,3,2,15.80,7.00,2.67,7.00,0.38,0.00,0.33,0.00,1.67,2.00,0.83,1.00,3.00,4.00,1.00,0.67,0.33,0.67,2.67,0.44,0.38,7.74,24.98,16.04,10.55,7.80,2.32,2.24,25.64,121.43,0.00,1.00,99.00,119.20,13.38
Maverick Rowan,2018,0,G-League,1996,22,6-7,79,37,2,13.30,5.32,1.81,4.81,0.38,1.05,3.03,0.35,0.65,0.89,0.73,0.38,1.49,1.86,0.59,0.49,0.16,0.89,1.19,0.51,0.49,3.07,12.36,7.66,6.69,14.63,1.80,1.16,19.86,145.19,-3.84,1.11,95.60,107.10,9.22
Simon Birgander,2017,0,Spain-2,1997,20,6-11,83,24,2,13.30,4.00,1.71,2.79,0.61,0.00,0.00,0.00,0.58,0.88,0.67,1.12,3.00,4.12,0.62,0.79,0.79,0.50,1.96,0.63,0.61,11.10,30.34,20.60,8.28,13.60,3.41,6.32,13.85,127.86,-0.64,1.43,126.30,102.60,21.41
Luka Bozic,2017,0,Croatia,1996,21,6-5,77,24,24,37.70,22.21,7.00,14.25,0.49,1.46,4.62,0.32,6.75,8.04,0.84,0.96,5.79,6.75,6.00,1.54,0.12,4.08,1.42,0.62,0.54,3.26,19.25,11.34,27.37,18.67,2.14,0.35,26.14,164.59,-0.21,1.56,117.40,109.60,22.37
Wesley Alves,2017,0,Brazil,1996,21,6-7,79,31,6,13.20,4.61,1.71,3.94,0.43,0.55,1.65,0.33,0.65,0.87,0.74,0.55,1.42,1.97,0.58,0.52,0.10,0.71,1.39,0.53,0.50,5.23,13.72,9.45,7.88,14.11,2.17,0.83,17.98,150.85,-2.47,1.17,104.40,107.40,12.21
Georginho de Paula,2017,0,Brazil,1996,21,6-6,78,41,36,27.50,10.78,3.29,8.93,0.37,1.22,3.71,0.33,2.98,3.95,0.75,0.93,3.29,4.22,4.15,1.24,0.39,2.12,2.10,0.51,0.44,4.11,15.53,9.64,27.08,16.59,2.52,1.63,21.76,145.09,2.35,1.21,106.70,106.00,16.14
Jonathan Jeanne,2017,0,France,1997,20,7-2,86,19,0,13.00,3.68,1.42,3.26,0.44,0.16,0.63,0.25,0.68,1.32,0.52,1.42,2.53,3.95,0.37,0.37,0.79,1.05,1.21,0.48,0.46,12.57,23.74,17.99,5.03,21.51,1.55,6.20,18.06,120.55,-5.96,1.13,89.70,107.30,13.12
Paris Bass,2017,0,G-League,1995,22,6-7,79,15,0,11.80,3.87,1.53,4.53,0.34,0.40,1.00,0.40,0.40,0.93,0.43,1.07,1.67,2.73,0.80,0.20,0.67,1.07,1.67,0.39,0.38,9.17,15.90,12.36,9.89,17.75,0.82,4.84,21.26,116.68,-4.56,0.85,81.30,106.40,6.79
Lee Moore,2017,0,Italy,1995,22,6-4,76,28,25,26.60,12.96,4.50,9.04,0.50,1.07,2.75,0.39,2.89,3.36,0.86,2.00,3.21,5.21,2.14,0.96,0.00,2.07,1.50,0.62,0.56,9.22,14.70,11.97,14.93,16.46,1.96,0.00,22.47,174.93,-2.43,1.43,116.10,109.50,20.04
Waly Niang,2017,0,G-League,1996,21,6-9,81,5,0,3.70,0.80,0.20,1.40,0.14,0.00,0.20,0.00,0.40,0.40,1.00,0.20,0.60,0.80,0.00,0.00,0.20,0.60,1.20,0.25,0.14,5.77,17.31,11.54,0.00,27.57,0.00,4.37,24.39,114.29,-15.85,0.57,45.40,101.80,-9.61
Gracin Bakumanya,2016,0,France,1997,19,6-11,83,2,0,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.50,1.50,0.00,0.00,35.09,0.00,15.50,0.00,100.00,0.00,0.00,6.29,0.00,-12.45,0.00,88.60,131.60,-1.71
Georgios Tsalmpouris,2016,0,Greece,1996,20,7-2,86,1,0,2.70,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,31.01,16.46,0.00,0.00,0.00,31.01,15.59,0.00,0.00,0.00,0.00,80.10,-3.92
Mouhammadou Jaiteh,2015,0,France,1994,21,6-11,83,34,34,22.50,11.32,4.71,7.85,0.60,0.00,0.00,0.00,1.91,3.26,0.59,2.44,4.06,6.50,0.71,0.65,0.50,1.74,1.97,0.61,0.60,14.08,22.54,18.39,5.59,15.74,1.59,2.09,23.81,118.48,-5.48,1.44,112.90,101.00,21.04
Adin Vrabac,2015,0,Germany,1994,21,6-8,80,32,26,19.60,6.31,2.34,5.75,0.41,0.34,1.41,0.24,1.28,2.44,0.53,0.72,1.59,2.31,1.22,0.28,0.22,2.47,2.44,0.46,0.44,4.91,10.16,7.63,12.44,26.57,0.81,1.19,24.12,117.77,-8.66,1.10,77.50,114.40,3.98
Isaac Fotu,2015,0,Spain,1993,22,6-8,80,26,17,23.80,10.65,4.31,8.88,0.49,1.38,3.65,0.38,0.65,1.08,0.61,1.23,2.81,4.04,0.81,0.27,0.12,0.62,2.04,0.57,0.56,6.54,17.09,11.45,7.40,6.17,0.66,0.58,21.02,147.09,-0.33,1.20,116.60,114.00,16.99
Jamal Jones,2015,0,G-League,1993,22,6-8,80,46,18,21.10,7.83,2.87,6.85,0.42,1.07,3.17,0.34,1.02,1.54,0.66,0.78,2.07,2.85,0.93,0.63,0.41,0.89,2.13,0.52,0.50,3.96,11.00,7.39,6.50,10.59,1.43,1.59,16.72,141.66,-1.26,1.14,103.80,113.50,9.91
Todd Mayo,2015,0,G-League,1991,24,6-3,75,24,2,20.20,8.25,2.79,7.50,0.37,0.67,2.62,0.25,2.00,2.33,0.86,0.29,2.00,2.29,1.04,0.67,0.08,1.92,1.83,0.48,0.42,1.59,11.48,6.41,8.39,18.35,1.70,0.35,22.68,148.33,-6.45,1.10,89.50,109.90,7.57
Naadir Tharpe,2015,0,G-League,1991,24,5-11,71,14,6,17.90,5.29,2.14,5.29,0.41,0.50,1.93,0.26,0.50,0.71,0.70,0.14,1.57,1.71,3.43,0.50,0.07,2.36,1.50,0.47,0.45,0.89,8.74,5.04,23.79,29.62,1.25,0.28,17.34,136.47,-0.37,1.00,86.00,119.60,5.90
Jarvis Threatt,2015,0,G-League,1993,22,6-2,74,36,13,21.60,12.92,4.25,9.42,0.45,0.31,1.06,0.29,4.11,5.72,0.72,1.19,2.67,3.86,5.44,1.36,0.19,1.92,1.78,0.54,0.47,5.32,12.72,8.89,34.75,13.84,2.79,0.62,24.18,145.92,7.30,1.37,118.50,113.50,20.56
Lucas Mariano,2014,0,Brazil,1993,21,6-10,82,42,32,29.30,12.69,4.83,10.55,0.46,1.29,3.74,0.34,1.74,2.24,0.78,1.33,2.50,3.83,0.79,0.43,0.86,2.05,2.43,0.55,0.52,5.94,11.41,8.64,4.88,15.08,0.81,3.01,21.91,157.88,-5.21,1.20,105.00,110.60,12.63
