Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Ojars Silins,2014,0,Italy,1993,21,6-7,79,35,35,24.20,7.34,2.66,5.57,0.48,1.40,3.57,0.39,0.51,0.66,0.78,0.49,1.94,2.43,0.57,0.63,0.91,0.63,2.86,0.63,0.60,2.71,10.39,6.63,3.87,9.69,1.49,4.45,13.59,165.15,-1.03,1.32,119.40,109.30,12.61
Aquille Carr,2014,0,G-League,1993,21,5-6,66,10,0,14.00,10.70,3.50,8.80,0.40,0.90,2.30,0.39,2.80,4.10,0.68,0.10,0.80,0.90,1.90,1.20,0.00,2.10,2.10,0.51,0.45,0.75,6.03,3.37,25.25,16.53,3.93,0.00,36.29,147.20,-5.70,1.22,94.20,113.30,14.75
Cleveland Melvin,2014,0,G-League,1991,23,6-8,80,10,0,21.30,11.20,4.90,9.00,0.54,0.10,0.30,0.33,1.30,1.90,0.68,1.30,2.80,4.10,1.30,0.20,0.30,1.20,2.00,0.57,0.55,6.72,13.45,10.21,8.33,10.87,0.43,1.06,21.06,156.20,-1.51,1.24,111.10,116.10,14.82
Norvel Pelle,2014,0,G-League,1993,21,6-10,82,35,6,13.10,5.54,2.23,4.34,0.51,0.00,0.09,0.00,1.09,1.74,0.62,1.00,2.06,3.06,0.20,0.40,1.40,1.17,2.89,0.54,0.51,8.07,16.77,12.40,2.32,18.65,1.40,8.15,19.34,113.61,-7.59,1.28,96.50,106.50,12.40
Elijah Pittman,2014,0,G-League,1991,23,6-9,81,8,0,20.60,10.00,3.88,8.00,0.48,1.12,3.25,0.35,1.12,2.50,0.45,0.88,2.75,3.62,1.12,0.75,0.12,1.50,2.62,0.55,0.56,4.45,14.14,9.27,7.35,14.15,1.59,0.44,20.24,128.05,-3.31,1.25,101.30,120.40,11.72
Laszlo Dobos,2013,0,Spain,1993,20,7-3,87,1,0,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.85,67.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,16.07
Alexandre Paranhos,2013,0,Brazil,1992,21,6-8,80,3,2,19.20,12.33,4.67,9.33,0.50,1.33,3.33,0.40,1.67,2.00,0.83,0.33,2.00,2.33,1.67,1.00,0.00,1.67,1.67,0.60,0.57,2.52,13.07,8.18,13.79,14.03,2.82,0.00,29.19,173.33,-2.80,1.32,112.80,98.70,19.84
Bogdan Radosavljevic,2013,0,Germany,1993,20,7-0,84,9,0,6.10,2.67,0.78,1.56,0.50,0.00,0.00,0.00,1.11,1.44,0.77,0.44,0.33,0.78,0.33,0.11,0.22,1.11,1.11,0.61,0.50,9.96,6.48,8.10,8.28,33.65,0.99,3.70,25.34,126.92,-14.16,1.71,91.60,101.40,9.06
Josep Franch,2012,0,Spain,1991,21,6-5,77,32,23,23.80,7.91,2.88,7.88,0.37,0.88,3.19,0.28,1.28,1.72,0.75,0.44,1.41,1.84,2.28,0.78,0.16,2.31,1.97,0.46,0.42,2.16,7.39,4.69,18.01,21.13,1.83,0.65,21.99,138.50,-3.26,1.00,87.10,106.10,8.63
Mathieu Wojciechowski,2012,0,France,1992,20,6-7,79,1,0,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,129.03,0.00,68.97,0.00,100.00,0.00,0.00,50.94,0.00,-99.71,0.00,41.50,134.40,-17.35
Matthieu Gauzin,2023,0,France,2001,22,6-4,76,31,0,15.00,5.26,1.81,4.68,0.39,0.55,1.90,0.29,1.10,1.35,0.81,0.32,1.74,2.06,1.84,0.58,0.03,1.06,1.26,0.50,0.45,2.73,16.61,9.25,19.55,16.80,2.19,0.25,21.17,148.39,1.12,1.12,98.30,112.00,11.79
Bojan Tomasevic,2023,0,ABA,2001,22,6-7,79,24,14,22.20,7.67,2.54,4.58,0.56,1.08,2.42,0.45,1.50,1.92,0.78,1.38,2.12,3.50,0.96,0.79,0.08,0.67,2.50,0.71,0.67,7.66,12.70,10.09,7.40,10.94,1.92,0.42,12.95,178.54,-0.12,1.67,137.60,121.00,15.37
Nikos Rogkavopoulos,2023,0,Turkey,2001,22,6-8,80,28,28,32.50,15.46,5.00,11.93,0.42,2.25,6.32,0.36,3.21,3.71,0.87,1.71,4.54,6.25,1.89,1.14,0.32,1.89,1.89,0.57,0.51,6.27,16.21,11.30,11.16,12.25,1.96,1.04,23.18,164.05,-1.94,1.30,112.10,113.60,16.48
Luigi Datome,2009,0,Italy,1987,22,6-8,80,31,2,18.10,8.87,2.97,5.52,0.54,1.45,2.84,0.51,1.48,1.90,0.78,0.68,2.42,3.10,0.48,1.42,0.32,0.90,2.32,0.70,0.67,4.93,16.55,10.92,4.60,12.45,4.23,1.95,18.97,182.90,-3.17,1.61,131.60,101.50,20.98
Simone Fontecchio,2017,0,Italy,1995,22,6-7,79,28,2,12.10,4.61,1.79,3.61,0.50,0.68,1.61,0.42,0.36,0.50,0.71,0.54,1.07,1.61,0.79,0.36,0.14,0.71,1.96,0.60,0.59,5.90,10.24,8.22,10.17,15.73,1.56,1.30,16.94,163.16,-1.54,1.28,114.70,107.10,12.87
Luca Vildoza,2017,0,Argentina,1995,22,6-3,75,67,64,32.00,17.09,5.00,12.49,0.40,1.93,5.64,0.34,5.16,6.03,0.86,0.57,3.55,4.12,4.01,1.69,0.22,3.18,1.97,0.56,0.48,2.09,13.87,7.81,23.79,17.35,2.79,0.72,27.24,159.79,-1.55,1.37,105.40,104.30,18.90
Gabriel Lundberg,2016,0,Denmark,1994,22,6-4,76,37,33,28.70,14.11,5.11,10.38,0.49,1.38,3.65,0.38,2.51,3.54,0.71,1.03,3.19,4.22,2.62,1.76,0.27,1.86,2.14,0.59,0.56,4.28,12.84,8.63,14.95,13.51,3.30,0.93,21.83,157.99,-0.41,1.36,117.60,98.00,19.46
Gabriel Deck,2017,0,Argentina,1995,22,6-8,80,49,43,27.80,17.92,6.65,11.78,0.57,1.08,3.20,0.34,3.53,4.53,0.78,1.10,3.20,4.31,1.45,0.84,0.33,1.47,1.53,0.65,0.61,5.30,12.90,9.44,9.80,9.64,1.61,1.17,26.17,168.19,-1.81,1.52,124.10,100.30,25.12
Facundo Campazzo,2013,0,Argentina,1991,22,5-11,71,52,51,33.10,14.37,4.33,9.56,0.45,1.42,4.71,0.30,4.25,5.77,0.74,0.79,3.21,4.00,5.98,2.40,0.10,2.96,3.19,0.59,0.53,2.94,12.09,7.49,32.29,19.67,3.93,0.29,21.90,149.14,3.02,1.50,114.50,100.10,19.39
Vincent Poirier,2015,0,France-2,1993,22,7-0,84,37,4,12.90,3.57,1.49,2.89,0.51,0.00,0.00,0.00,0.59,0.97,0.61,1.41,2.05,3.46,0.38,0.46,0.46,0.70,1.81,0.54,0.51,13.99,20.32,17.16,5.22,17.47,2.02,3.92,15.76,112.51,-3.52,1.23,107.80,99.10,15.75
Nicolo Melli,2013,0,Euroleague,1991,22,6-9,81,37,8,17.60,5.76,2.05,4.73,0.43,0.65,1.92,0.34,1.00,1.24,0.80,1.03,3.05,4.08,0.76,0.38,0.43,1.30,2.38,0.55,0.50,7.84,21.08,14.80,7.15,19.73,1.18,2.32,17.88,157.67,-4.55,1.22,102.70,103.50,12.22
William Howard,2015,0,France-2,1993,22,6-8,80,41,11,16.00,6.15,2.02,5.02,0.40,0.80,2.66,0.30,1.29,1.80,0.72,0.98,2.54,3.51,0.90,0.78,0.17,0.76,1.46,0.53,0.48,7.81,18.86,13.54,11.06,11.50,2.84,1.04,20.98,142.19,-1.00,1.22,109.70,96.40,18.24
Marko Guduric,2017,0,Euroleague,1995,22,6-6,78,29,4,18.80,7.76,2.34,6.00,0.39,0.97,3.17,0.30,2.10,2.45,0.86,0.55,1.59,2.14,2.14,0.55,0.07,1.86,2.62,0.55,0.47,3.83,12.07,7.75,20.69,20.83,1.68,0.42,23.83,155.43,-2.35,1.29,100.10,106.40,11.79
Mitch Creek,2014,0,NBL,1992,22,6-6,78,33,9,16.10,7.67,2.67,5.36,0.50,0.39,1.15,0.34,1.94,2.70,0.72,1.15,2.70,3.85,1.00,0.48,0.36,0.91,1.94,0.59,0.53,7.85,17.45,12.78,9.34,12.19,1.52,1.96,19.67,155.84,-1.42,1.43,119.00,109.20,17.59
Daniel Theis,2013,0,Germany,1992,21,6-8,80,42,19,16.90,6.45,2.12,4.90,0.43,0.40,1.43,0.28,1.81,2.36,0.77,1.24,3.36,4.60,0.79,0.40,0.71,1.07,2.60,0.54,0.47,9.04,22.62,16.10,7.74,15.28,1.29,3.97,19.47,148.30,-3.14,1.32,108.90,99.90,15.92
Milos Teodosic,2009,0,Euroleague,1987,22,6-5,77,17,10,14.60,3.29,1.06,3.18,0.33,0.71,2.00,0.35,0.47,0.47,1.00,0.18,0.76,0.94,1.71,0.53,0.00,0.94,2.24,0.49,0.44,1.76,6.46,4.31,17.87,21.76,2.05,0.00,14.63,168.63,1.31,1.04,98.40,110.90,6.73
Axel Toupane,2014,0,France,1992,22,6-7,79,41,11,19.10,6.07,2.29,4.76,0.48,0.61,1.90,0.32,0.88,1.02,0.86,0.34,2.17,2.51,0.88,0.95,0.15,0.73,2.24,0.58,0.55,2.55,15.14,9.06,7.98,12.32,2.89,0.87,16.07,165.97,-0.77,1.28,110.00,105.20,13.11
Nicolas Brussino,2015,0,Argentina,1993,22,6-8,80,55,15,22.60,9.40,3.22,7.53,0.43,1.64,4.24,0.39,1.33,1.64,0.81,0.51,2.73,3.24,1.33,0.55,0.64,1.65,2.84,0.57,0.54,2.99,14.45,9.02,10.01,16.71,1.27,2.65,21.36,162.49,-3.41,1.25,103.30,105.60,13.30
Mindaugas Kuzminskas,2011,0,Euroleague,1989,22,6-9,81,8,0,6.80,1.62,0.62,1.75,0.36,0.12,0.75,0.17,0.25,0.38,0.67,0.38,0.62,1.00,0.12,0.25,0.00,0.50,0.50,0.42,0.39,7.46,10.92,9.30,3.47,20.70,2.04,0.00,16.64,119.05,-5.86,0.93,79.90,105.00,5.90
Nicolas Laprovittola,2012,0,Argentina,1990,22,6-4,76,48,23,28.90,10.23,3.21,6.77,0.47,1.15,3.06,0.37,2.67,3.33,0.80,0.42,2.48,2.90,3.83,1.10,0.06,2.38,2.35,0.62,0.56,1.83,11.29,6.48,22.83,22.38,2.19,0.23,18.33,164.80,0.65,1.51,112.60,105.50,15.92
Boban Marjanovic,2010,0,Serbia,1988,22,7-4,88,6,6,18.90,9.00,3.50,5.67,0.62,0.00,0.00,0.00,2.00,2.83,0.71,1.17,4.17,5.33,1.17,0.33,1.00,2.00,1.83,0.65,0.62,8.42,32.69,20.05,12.20,22.44,0.99,6.83,23.01,132.35,-6.28,1.59,108.20,109.30,20.21
Cristiano Felicio,2014,0,Brazil,1992,22,6-10,82,40,5,12.80,5.15,2.05,3.70,0.55,0.15,0.55,0.27,0.90,1.48,0.61,1.30,2.30,3.60,0.40,0.28,0.12,0.97,1.95,0.59,0.57,13.00,21.57,17.42,5.53,18.31,1.17,0.98,19.63,143.70,-5.46,1.39,109.80,102.80,14.49
Tim Olbrecht,2010,0,Germany,1988,22,6-10,82,35,32,22.50,10.46,3.66,7.40,0.49,1.09,3.17,0.34,2.06,2.63,0.78,1.06,3.11,4.17,0.66,0.46,1.14,1.46,3.11,0.61,0.57,6.25,17.53,12.03,6.04,14.55,1.16,5.38,22.02,161.92,-4.55,1.41,114.50,101.80,18.92
Vladimir Lucic,2011,0,Euroleague,1989,22,6-8,80,15,0,10.70,2.40,0.80,1.53,0.52,0.13,0.40,0.33,0.67,1.00,0.67,0.47,1.40,1.87,0.60,0.20,0.27,0.20,1.47,0.61,0.57,5.24,17.78,11.12,11.29,9.20,1.08,2.59,9.93,152.17,1.89,1.57,129.60,102.60,13.39
Kostas Sloukas,2012,0,Euroleague,1990,22,6-2,74,15,0,14.70,5.53,1.73,3.33,0.52,0.67,1.20,0.56,1.40,1.60,0.88,0.27,1.47,1.73,1.60,0.67,0.07,0.93,1.47,0.69,0.62,2.34,13.75,7.86,20.16,18.78,2.62,0.44,16.63,195.06,0.92,1.66,127.30,104.00,0.00
Alexey Shved,2010,0,Euroleague,1988,22,6-6,78,2,0,1.90,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.27,0.00,0.00,37.74,20.41,34.48,0.00,0.00,0.00,25.52,50.00,17.76,1.00,92.80,104.90,11.45
Andrew Albicy,2012,0,France,1990,22,5-10,70,32,4,20.10,4.41,1.50,3.66,0.41,0.38,1.28,0.29,1.03,1.62,0.64,0.25,1.31,1.56,3.22,1.16,0.00,1.44,1.31,0.50,0.46,1.61,7.26,4.64,24.78,24.75,3.13,0.00,13.74,133.76,3.43,1.21,101.40,108.90,10.60
Thomas Heurtel,2010,0,France,1989,21,6-2,74,30,15,22.80,9.37,3.50,7.67,0.46,1.37,3.27,0.42,1.00,1.37,0.73,0.57,1.47,2.03,4.77,1.13,0.00,2.77,1.47,0.57,0.55,3.22,8.24,5.75,35.43,25.07,2.69,0.00,23.24,160.66,1.74,1.22,104.30,116.00,15.59
Carlos Alocen,2022,0,Euroleague,2000,22,6-5,77,9,3,10.80,2.67,0.78,3.44,0.23,0.22,1.78,0.13,0.89,1.11,0.80,0.56,0.89,1.44,1.56,0.33,0.00,0.78,1.11,0.34,0.26,6.55,10.71,8.61,23.92,16.51,1.78,0.00,21.55,115.08,2.37,0.77,85.40,103.30,5.56
Guillem Vives,2015,0,Spain,1993,22,6-3,75,41,16,18.40,6.51,2.27,4.49,0.51,0.85,2.20,0.39,1.12,1.32,0.85,0.34,1.32,1.66,2.24,0.54,0.27,1.10,2.41,0.64,0.60,2.60,10.01,6.31,20.13,17.80,1.64,1.66,16.42,174.62,2.16,1.45,123.60,114.10,14.93
Joel Parra,2022,0,Spain,2000,22,6-8,80,41,35,24.30,8.68,3.12,6.46,0.48,0.76,2.05,0.37,1.68,2.02,0.83,1.32,3.12,4.44,0.90,0.93,0.22,0.90,1.98,0.59,0.54,6.93,16.37,11.65,6.10,10.93,2.15,1.04,16.49,168.34,-1.27,1.34,120.20,109.30,15.14
Justus Hollatz,2023,0,Spain,2001,22,6-3,75,34,33,24.10,7.94,3.03,6.85,0.44,0.82,2.56,0.32,1.06,1.50,0.71,0.44,1.71,2.15,3.29,1.29,0.18,1.71,2.38,0.53,0.50,2.19,9.24,5.56,23.10,18.50,2.99,0.82,18.28,146.98,2.10,1.16,105.00,109.50,12.98
Jaime Pradilla,2023,0,Euroleague,2001,22,6-9,81,30,8,13.40,3.87,1.70,3.23,0.53,0.27,0.70,0.38,0.20,0.47,0.43,0.93,1.20,2.13,0.60,0.23,0.13,0.70,1.47,0.56,0.57,9.55,13.23,11.32,7.61,16.91,0.98,1.20,15.19,133.53,-2.21,1.20,106.90,120.80,9.97
Dino Radoncic,2021,0,Spain,1999,22,6-8,80,36,33,28.10,10.86,4.00,8.97,0.45,0.69,2.83,0.25,2.17,2.97,0.73,1.92,3.69,5.61,1.67,1.14,0.31,1.83,1.67,0.53,0.49,7.63,18.29,12.39,11.03,15.13,2.20,1.13,20.03,141.99,-2.56,1.21,104.40,116.00,14.49
Nenad Dimirijevic,2020,0,Spain,1998,22,6-1,73,25,7,19.50,8.84,3.32,7.04,0.47,0.60,2.12,0.28,1.60,1.80,0.89,0.28,1.40,1.68,3.36,0.56,0.04,2.64,2.44,0.57,0.49,2.52,10.76,6.77,25.00,22.87,2.40,0.23,22.40,158.76,-0.76,1.34,105.30,112.30,12.57
Santiago Yusta,2019,0,Spain,1997,22,6-6,78,20,10,15.90,6.15,2.15,4.40,0.49,0.90,2.25,0.40,0.95,1.15,0.83,0.55,1.70,2.25,0.85,0.50,0.10,0.45,1.50,0.63,0.59,4.58,11.66,8.46,8.24,8.40,1.70,0.61,15.80,171.47,0.72,1.40,130.50,107.20,14.93
Xabier Lopez-Arostegui,2019,0,Spain,1997,22,6-7,79,35,20,18.90,5.66,1.97,4.80,0.41,0.89,2.29,0.39,0.83,0.97,0.85,0.77,1.94,2.71,0.77,0.74,0.00,0.46,1.40,0.54,0.50,5.55,13.22,9.49,6.71,8.04,2.19,0.00,14.76,165.12,0.30,1.18,115.80,114.00,11.62
Jordan Sakho,2019,0,Spain,1997,22,6-10,82,27,7,15.70,5.78,2.19,4.11,0.53,0.00,0.00,0.00,1.41,2.07,0.68,1.52,2.04,3.56,0.15,0.48,0.48,0.93,2.59,0.58,0.53,11.49,16.90,14.07,1.69,15.56,1.68,3.30,17.69,121.01,-5.19,1.41,110.10,112.50,13.90
Sergi Garcia,2019,0,Spain,1997,22,6-3,75,17,0,6.40,2.29,0.71,1.82,0.39,0.53,1.35,0.39,0.35,0.59,0.60,0.47,0.29,0.76,0.53,0.24,0.00,0.47,0.35,0.55,0.53,10.57,6.23,8.34,13.43,18.43,2.13,0.00,20.26,137.84,-1.93,1.26,109.10,116.80,12.44
Rolands Smits,2017,0,Spain,1995,22,6-10,82,32,15,21.50,7.50,2.84,6.84,0.42,0.72,2.56,0.28,1.09,1.62,0.67,1.44,2.44,3.88,0.53,0.31,0.19,1.53,2.38,0.46,0.44,10.05,13.17,11.55,3.88,11.89,1.09,0.86,20.98,117.72,-3.67,1.04,95.80,114.40,8.17
Alberto Abalde,2017,0,Spain,1995,22,6-7,79,31,27,23.90,10.10,4.00,8.71,0.46,0.87,2.81,0.31,1.23,1.77,0.69,0.97,2.52,3.48,1.77,0.77,0.06,1.32,1.90,0.53,0.51,5.33,14.23,9.72,14.75,12.23,1.82,0.28,22.32,146.05,-0.59,1.16,105.90,110.10,14.78
Ludvig Hakanson,2018,0,Spain,1996,22,6-3,75,33,2,15.00,5.94,2.03,5.30,0.38,0.91,2.88,0.32,0.97,1.24,0.78,0.33,1.30,1.64,2.42,0.24,0.06,1.21,1.55,0.51,0.47,2.56,10.32,6.38,27.33,17.16,0.86,0.37,21.82,147.91,2.61,1.12,102.10,116.00,11.01
Alessandro Pajola,2021,0,Italy,1999,22,6-4,76,29,6,19.40,6.28,2.21,4.34,0.51,0.90,2.07,0.43,0.97,1.45,0.67,0.55,2.17,2.72,3.41,1.62,0.17,1.48,2.41,0.63,0.61,3.59,12.86,8.44,27.40,22.94,4.39,1.04,15.22,160.79,3.99,1.44,116.80,95.70,16.54
Diego Flaccadori,2018,0,Italy,1996,22,6-5,77,37,5,21.70,8.84,2.86,7.70,0.37,1.14,3.49,0.33,1.97,2.68,0.74,0.38,1.35,1.73,1.57,0.97,0.08,1.08,1.70,0.50,0.45,2.05,8.14,4.93,11.99,10.85,2.42,0.40,21.42,143.49,-0.16,1.15,104.00,104.90,12.70
Achille Polonara,2013,0,Italy,1991,22,6-8,80,40,8,20.50,8.40,3.17,6.80,0.47,0.82,2.42,0.34,1.23,1.85,0.66,1.48,3.30,4.78,0.88,1.32,0.40,1.20,1.98,0.55,0.53,8.49,18.80,13.67,7.51,13.61,3.44,1.85,19.77,146.93,-2.94,1.24,110.00,98.20,18.43
Pietro Aradori,2010,0,Italy,1988,22,6-4,76,28,25,30.30,16.75,5.57,12.11,0.46,1.71,4.36,0.39,3.89,4.61,0.85,1.64,3.36,5.00,1.75,2.14,0.11,2.50,2.39,0.59,0.53,7.13,14.77,10.92,12.53,15.03,3.95,0.41,26.32,169.86,-4.42,1.38,115.40,109.40,20.72
Nikos Chougkaz,2021,0,Greece,2000,21,6-9,81,24,17,25.60,10.62,3.54,8.25,0.43,1.21,3.08,0.39,2.33,3.12,0.75,1.71,4.62,6.33,0.83,0.92,0.42,1.42,2.62,0.55,0.50,8.26,23.26,15.61,5.98,12.83,1.96,1.72,20.44,156.79,-3.32,1.29,108.20,108.70,16.34
Zois Karampelas,2023,0,Greece,2001,22,6-1,73,22,14,24.10,6.95,2.32,7.14,0.33,1.09,4.23,0.26,1.23,1.64,0.75,0.50,2.45,2.95,4.55,1.09,0.05,2.64,2.55,0.44,0.40,2.43,13.05,7.50,35.09,25.13,2.55,0.20,21.74,133.29,1.69,0.97,86.80,109.70,9.27
Antonios Koniaris,2019,0,Greece,1997,22,6-4,76,26,23,18.20,4.81,1.62,4.62,0.35,0.96,2.73,0.35,0.62,0.81,0.76,0.54,1.46,2.00,2.85,0.77,0.08,1.35,2.15,0.48,0.45,3.69,10.28,6.94,27.19,21.31,2.40,0.52,17.41,146.40,3.12,1.04,100.10,106.60,11.51
Ioannis Papapetrou,2014,0,Greece,1994,20,6-8,80,25,7,13.30,4.80,1.76,4.28,0.41,0.64,2.40,0.27,0.64,0.92,0.70,0.60,1.80,2.40,0.68,0.28,0.16,0.56,1.52,0.51,0.49,5.97,15.52,11.09,8.27,10.68,1.19,1.17,19.38,137.35,-0.80,1.12,106.90,92.40,13.59
Lefteris Bochoridis,2016,0,Greece,1994,22,6-5,77,14,1,8.60,3.14,1.00,1.79,0.56,0.71,1.21,0.59,0.43,0.57,0.75,0.21,1.29,1.50,0.71,0.07,0.07,0.43,1.00,0.77,0.76,3.09,17.92,10.62,13.45,17.38,0.46,0.86,13.44,189.82,0.54,1.76,132.50,98.20,16.43
Malcolm Cazalon,2023,0,ABA,2001,22,6-6,78,27,23,25.70,11.00,3.85,8.48,0.45,1.33,4.07,0.33,1.96,2.48,0.79,0.56,2.74,3.30,2.56,1.67,0.19,1.89,2.70,0.58,0.53,2.85,13.10,8.15,16.94,16.48,3.49,0.72,20.98,157.25,-0.71,1.30,108.90,111.20,15.06
Mario Nakic,2023,0,ABA,2001,22,6-7,79,3,3,29.60,14.67,6.00,15.67,0.38,1.33,4.33,0.31,1.33,1.67,0.80,3.00,5.67,8.67,1.67,2.33,0.33,1.00,3.33,0.45,0.43,12.13,24.65,18.16,9.40,5.75,4.29,1.39,25.65,149.07,0.37,0.94,112.00,103.20,17.67
Uros Trifunovic,2022,0,ABA,2000,22,6-7,79,28,8,15.60,4.32,1.57,3.54,0.44,0.71,2.11,0.34,0.46,0.71,0.65,0.39,0.96,1.36,0.68,0.46,0.04,0.68,1.18,0.56,0.55,3.52,7.76,5.76,6.88,14.98,1.73,0.26,14.14,143.34,-1.48,1.22,109.20,111.80,9.71
Hugo Robineau,2022,0,France-2,2000,22,6-4,76,33,1,9.30,3.39,0.97,2.00,0.49,0.21,0.64,0.33,1.24,1.48,0.84,0.21,1.06,1.27,0.94,0.36,0.00,0.52,1.48,0.64,0.54,2.95,13.66,8.52,15.96,16.26,2.08,0.00,16.16,165.49,1.17,1.70,123.70,109.90,14.34
Nemanja Popovic,2023,0,Serbia,2001,22,6-8,80,18,12,22.70,11.22,5.00,9.17,0.55,0.17,0.94,0.18,1.06,1.83,0.58,2.06,4.28,6.33,1.22,0.61,1.28,2.11,2.11,0.56,0.56,10.43,22.60,16.40,10.01,17.47,1.43,6.15,24.29,129.77,-5.79,1.22,101.90,98.60,17.87
Marko Pecarski,2022,0,ABA,2000,22,6-10,82,25,14,24.10,12.24,4.56,8.72,0.52,1.40,3.12,0.45,1.72,2.16,0.80,2.64,3.32,5.96,0.64,0.40,0.32,0.68,1.80,0.63,0.60,12.94,16.81,14.84,5.71,6.57,0.91,1.46,20.40,176.80,-1.03,1.40,129.40,112.30,22.03
Tomas Pavelka,2022,0,Spain-2,2000,22,7-2,86,23,20,24.00,10.22,4.48,6.91,0.65,0.00,0.09,0.00,1.26,2.74,0.46,2.57,5.09,7.65,0.57,0.43,2.13,2.26,2.96,0.63,0.65,12.55,24.99,18.76,4.34,21.78,0.95,8.11,19.62,110.81,-7.32,1.48,106.20,103.90,19.67
Nikita Mikhailovskii,2022,0,Russia,2000,22,6-7,79,24,12,18.30,8.46,2.75,5.88,0.47,1.17,2.79,0.42,1.79,2.21,0.81,0.38,2.29,2.67,1.04,0.54,0.08,1.29,2.71,0.62,0.57,2.54,15.05,8.90,9.67,15.87,1.55,0.49,20.64,169.73,-3.16,1.44,111.50,114.00,12.84
Yoan Makoundou,2022,0,France,2000,22,6-9,81,36,22,23.00,10.42,4.08,7.53,0.54,0.67,1.81,0.37,1.58,2.08,0.76,1.58,3.67,5.25,0.75,0.61,1.08,1.42,2.39,0.62,0.59,9.04,19.44,14.43,5.80,14.37,1.43,4.96,20.60,167.17,-3.94,1.38,114.00,107.70,18.30
Jovan Kljajic,2023,0,Spain,2001,22,6-6,78,14,6,7.60,2.14,0.79,2.21,0.36,0.50,1.14,0.44,0.07,0.29,0.25,0.50,0.57,1.07,0.29,0.00,0.00,0.29,1.00,0.46,0.47,8.02,9.56,8.77,6.07,10.88,0.00,0.00,16.26,104.23,-1.25,0.97,99.00,114.60,5.81
Kenan Kamenjas,2022,0,ABA,2000,22,6-10,82,26,17,27.60,14.27,6.00,9.50,0.63,0.04,0.27,0.14,2.23,3.81,0.59,2.27,6.15,8.42,2.00,1.12,0.19,1.50,1.81,0.64,0.63,10.50,28.36,19.45,14.27,11.83,2.17,0.80,21.78,136.03,-0.58,1.50,123.90,109.10,24.37
Dalibor Ilic,2022,0,ABA,2000,22,6-8,80,24,15,26.10,12.67,4.33,7.54,0.58,0.79,2.33,0.34,3.21,4.50,0.71,3.25,4.46,7.71,1.21,0.71,0.38,1.25,1.92,0.67,0.63,16.36,22.13,19.26,8.41,11.60,1.57,1.59,20.21,162.68,-1.76,1.68,133.10,109.40,24.58
