Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Guo Haowen,2022,0,China,2000,22,6-8,80,34,10,21.80,13.71,4.03,8.59,0.47,0.82,2.38,0.35,4.82,6.15,0.79,0.68,1.62,2.29,2.09,0.68,0.12,1.97,2.94,0.61,0.52,3.43,8.80,6.02,14.61,14.86,1.51,0.48,25.36,159.95,-2.48,1.60,114.70,107.70,15.19
Guo Ailun,2015,0,China,1993,22,6-4,76,49,48,33.60,13.69,5.37,10.78,0.50,1.35,3.86,0.35,1.61,2.39,0.68,1.08,1.82,2.90,5.10,1.88,0.10,1.59,3.06,0.58,0.56,3.88,6.60,5.23,21.59,11.86,2.94,0.27,17.83,152.25,5.47,1.27,126.50,113.50,15.01
Gregor Glas,2023,0,ABA,2001,22,6-6,78,13,12,26.50,12.92,4.00,11.00,0.36,1.92,5.85,0.33,3.00,3.77,0.80,0.46,2.46,2.92,3.15,0.69,0.08,3.23,2.77,0.51,0.45,2.06,12.83,7.03,21.95,20.33,1.41,0.27,27.33,148.85,-4.20,1.17,96.10,121.90,9.70
Mouhamet Diouf,2023,0,Italy,2001,22,6-10,82,28,13,14.00,5.96,2.14,3.82,0.56,0.00,0.14,0.00,1.68,2.36,0.71,1.21,2.00,3.21,0.25,0.57,0.79,1.07,1.79,0.61,0.56,11.18,18.16,14.69,3.68,18.07,2.29,6.30,21.13,127.29,-6.69,1.56,108.70,103.00,17.99
Ousmane Diop,2022,0,Italy,2000,22,6-9,81,32,3,14.60,5.69,2.03,3.81,0.53,0.06,0.41,0.15,1.56,2.19,0.71,1.44,1.91,3.34,0.84,0.75,0.28,1.00,3.12,0.60,0.54,12.29,16.52,14.39,9.39,17.32,2.73,2.08,18.60,140.09,-2.92,1.49,115.00,107.40,16.04
Abdoulaye N'Doye,2020,0,France,1998,22,6-7,79,25,24,30.50,10.12,3.60,6.88,0.52,0.60,1.36,0.44,2.32,3.08,0.75,0.96,3.20,4.16,4.04,1.28,0.36,2.04,2.96,0.61,0.57,4.11,13.55,8.86,21.58,19.85,2.30,1.21,16.26,171.77,2.16,1.47,117.00,108.90,14.74
Tom Digbeu,2023,0,France-2,2001,22,6-5,77,24,20,26.50,16.21,4.92,10.21,0.48,1.08,3.58,0.30,5.29,6.17,0.86,0.71,3.21,3.92,2.92,0.96,0.50,2.58,2.00,0.63,0.54,3.31,14.77,9.09,20.81,16.66,1.87,1.93,26.88,164.21,-2.33,1.59,116.10,108.30,21.55
Gora Camara,2023,0,Italy,2001,22,7-0,84,24,0,5.20,2.00,0.75,1.04,0.72,0.00,0.00,0.00,0.50,0.83,0.60,0.46,0.71,1.17,0.00,0.12,0.29,0.67,0.67,0.71,0.72,12.40,15.99,14.36,0.00,32.13,1.31,6.04,19.35,132.00,-12.82,1.92,98.30,101.00,13.46
Danko Brankovic,2022,0,ABA,2000,22,7-1,85,25,6,17.60,9.92,4.28,6.68,0.64,0.32,0.88,0.36,1.04,1.60,0.65,2.00,3.00,5.00,0.64,0.52,1.08,0.96,3.04,0.67,0.67,14.65,22.28,18.44,7.66,11.51,1.67,7.02,22.81,165.44,-3.03,1.49,126.30,102.80,26.71
Kenny Baptiste,2022,0,France,2000,22,6-10,82,30,7,17.10,5.77,2.53,4.70,0.54,0.13,0.90,0.15,0.57,0.80,0.71,0.90,1.80,2.70,0.80,0.60,0.30,0.77,2.30,0.57,0.55,6.69,13.20,9.97,7.65,13.18,1.87,1.77,15.77,139.55,-1.34,1.23,110.70,109.30,12.52
Olek Balcerowski,2022,0,ABA,2000,22,7-1,85,16,3,19.10,8.56,3.38,6.56,0.51,0.12,0.69,0.18,1.69,2.62,0.64,1.69,3.81,5.50,1.06,0.69,1.44,1.50,3.00,0.56,0.52,10.92,25.26,18.01,10.55,16.27,1.92,7.77,22.20,133.90,-3.94,1.30,105.10,98.50,18.76
Mert Akay,2022,0,Serbia,2000,22,6-6,78,7,0,15.70,7.71,2.86,6.14,0.47,0.43,1.71,0.25,1.57,1.86,0.85,1.00,1.71,2.71,4.71,1.14,0.00,2.43,1.86,0.55,0.50,7.99,12.32,10.27,45.63,25.87,3.85,0.00,26.59,156.13,4.60,1.26,113.60,98.10,19.95
Melvin Ajinca,2024,1,France-1,2004,20,6.7,79,35,29,24.80,10.20,3.29,8.23,0.40,2.00,5.60,0.36,1.63,2.00,0.81,0.97,2.51,3.49,0.74,0.49,0.06,0.74,2.29,0.56,0.52,4.89,13.00,8.89,5.32,7.54,1.09,0.27,19.25,157.07,-1.05,1.24,114.50,107.40,12.64
Zaccharie Risacher,2024,1,France-1,2005,19,6.8,80,65,53,23.30,11.09,3.89,8.28,0.47,1.42,3.66,0.39,1.89,2.68,0.71,1.22,2.77,3.98,0.92,0.86,0.45,1.62,2.38,0.59,0.56,6.80,15.13,11.01,6.95,14.59,2.00,2.06,22.40,156.37,-4.34,1.34,108.50,104.00,15.19
Armel Traore,2024,0,France-1,2003,21,6.8,80,35,30,25.20,10.69,4.17,7.66,0.55,0.51,1.83,0.28,1.83,2.83,0.65,2.31,4.83,7.14,1.46,0.60,0.74,1.74,2.29,0.60,0.58,11.20,23.06,17.17,10.67,16.37,1.27,2.95,19.64,147.25,-3.07,1.40,112.10,109.70,17.11
Nikola Djurisic,2024,1,ABA,2004,20,6.8,80,36,34,29.90,14.78,4.86,10.94,0.44,1.11,3.64,0.31,3.94,5.17,0.76,0.39,2.42,2.81,3.42,1.19,0.39,3.19,2.86,0.56,0.50,1.70,10.15,6.01,18.65,19.46,2.12,1.39,25.36,151.29,-3.04,1.35,102.40,112.70,13.67
Nikola Topic,2024,1,ABA,2005,19,6.5,77,23,19,27.80,14.48,5.26,10.57,0.50,1.13,3.70,0.31,2.83,3.22,0.88,0.70,2.52,3.22,5.52,0.96,0.13,2.30,3.04,0.60,0.55,3.18,11.25,7.26,34.38,16.13,1.87,0.50,23.92,168.22,5.04,1.37,121.40,107.90,19.85
Juan Nunez,2024,1,Germany,2004,20,6.3,75,35,24,22.10,9.37,3.49,7.80,0.45,0.77,2.54,0.30,1.63,2.60,0.63,0.71,2.77,3.49,4.60,1.57,0.00,2.06,1.77,0.52,0.50,4.10,16.15,10.08,32.36,18.70,3.73,0.00,22.65,137.66,4.54,1.20,108.00,104.80,16.58
AJ Johnson,2024,1,NBL,2004,20,6.5,77,29,0,8.30,2.86,1.14,3.21,0.36,0.34,1.24,0.28,0.24,0.45,0.54,0.28,0.97,1.24,0.79,0.21,0.14,0.69,0.90,0.42,0.41,3.53,12.58,8.01,13.91,16.85,1.26,1.59,21.16,117.11,-1.83,0.89,85.80,112.20,7.08
Bobi Klintman,2024,1,NBL,2003,21,6.10.,82,26,8,21.60,10.15,3.31,7.62,0.43,1.19,3.54,0.34,2.35,2.88,0.81,0.88,3.85,4.73,0.92,1.04,0.50,1.73,2.69,0.57,0.51,4.58,18.61,11.84,6.60,16.30,2.29,2.05,20.84,158.46,-4.62,1.33,103.20,108.40,13.86
Taran Armstrong,2024,0,NBL,2002,22,6.6,78,23,13,21.80,7.70,2.70,5.83,0.46,0.39,1.52,0.26,1.91,2.74,0.70,0.57,3.43,4.00,2.70,0.65,0.09,1.48,2.61,0.55,0.50,2.86,16.57,9.87,18.52,17.37,1.44,0.34,16.94,141.82,1.43,1.32,105.60,111.50,11.31
Alexandre Sarr,2024,1,NBL,2005,19,7.1,85,30,0,18.00,9.60,3.57,7.13,0.50,0.53,1.93,0.28,1.93,2.73,0.71,1.53,2.97,4.50,1.03,0.43,1.53,1.03,1.37,0.58,0.54,8.84,18.18,13.37,9.45,11.03,1.18,8.00,21.90,148.32,-1.76,1.35,116.00,107.90,20.96
Mantas Rubstavicius,2024,0,NBL,2002,22,6.6,78,25,15,19.70,9.36,3.04,5.88,0.52,1.24,2.92,0.43,2.04,2.48,0.82,0.64,1.44,2.08,1.16,0.80,0.12,1.08,2.68,0.67,0.62,3.98,8.52,6.31,9.16,13.41,2.02,0.55,18.47,176.42,-1.57,1.59,123.60,112.60,15.28
Ariel Hukporti,2024,1,NBL,2002,22,7,84,36,14,17.70,7.92,3.06,5.31,0.58,0.00,0.00,0.00,1.81,2.92,0.62,2.50,4.56,7.06,0.75,0.53,1.53,1.56,2.69,0.60,0.58,15.52,27.46,21.58,6.34,19.10,1.48,7.21,19.77,119.50,-5.99,1.49,113.10,101.40,20.04
Trentyn Flowers,2024,0,NBL,2005,19,6.8,80,21,8,14.40,5.52,1.95,4.48,0.44,0.48,1.33,0.36,1.14,1.76,0.65,0.52,2.57,3.10,0.62,0.24,0.10,1.48,1.48,0.53,0.49,3.90,18.77,11.41,7.02,21.94,0.81,0.57,19.87,144.20,-6.81,1.23,89.70,115.20,8.36
Ron Holland,2024,1,G-League,2005,19,6.8,80,29,28,31.90,19.48,7.14,15.52,0.46,0.79,3.31,0.24,2.86,3.93,0.73,1.55,5.10,6.66,2.90,2.28,0.86,3.21,3.21,0.57,0.49,5.17,18.29,11.49,16.13,15.68,3.51,2.35,28.05,142.77,-3.98,1.26,95.80,114.80,15.79
Matas Buzelis,2024,1,G-League,2004,20,6.10.,82,34,32,31.00,14.09,5.35,11.76,0.46,0.88,3.38,0.26,1.41,2.03,0.70,1.59,5.03,6.62,1.94,0.91,1.94,2.18,2.38,0.56,0.49,5.57,18.79,11.97,10.40,14.67,1.48,5.61,21.45,141.15,-2.92,1.20,97.30,117.40,13.63
Tyler Smith,2024,1,G-League,2004,20,6.10.,82,43,2,22.20,13.74,4.95,10.33,0.48,1.35,3.74,0.36,1.40,1.91,0.73,1.70,3.42,5.12,1.33,0.81,0.91,1.26,2.63,0.62,0.55,8.16,17.69,12.75,10.50,10.11,1.81,3.65,24.60,157.17,-1.68,1.33,109.40,118.20,18.46
Thierry Darlan,2024,0,G-League,2004,20,6.6,78,45,11,19.10,5.42,1.62,4.36,0.37,0.56,2.11,0.26,0.96,1.27,0.75,0.69,2.98,3.67,0.80,0.60,0.33,1.49,1.58,0.55,0.44,3.83,18.05,10.63,5.97,23.26,1.56,1.55,14.73,139.00,-5.05,1.24,84.00,120.60,6.25
Babacar Sane,2024,0,G-League,2003,21,6.6,78,31,10,22.70,10.52,3.65,8.26,0.44,0.48,1.84,0.26,1.65,2.35,0.70,1.16,4.48,5.65,0.68,0.52,0.55,1.87,2.90,0.57,0.47,5.60,22.85,13.99,4.76,16.76,1.14,2.13,21.85,140.32,-6.36,1.27,91.10,119.70,10.01
Tidjane Salaun,2024,1,France-1,2005,19,6.9,81,54,40,23.40,9.74,3.35,8.26,0.41,1.39,4.39,0.32,1.65,2.20,0.75,1.24,2.70,3.94,0.89,1.07,0.19,1.28,2.43,0.53,0.49,6.62,15.50,10.90,6.77,12.16,2.55,0.94,21.28,147.02,-3.05,1.18,105.00,110.00,13.07
Pacome Dadiet,2024,1,Germany,2005,19,6.8,80,36,1,15.30,6.92,2.44,4.61,0.53,0.86,2.25,0.38,1.17,1.50,0.78,0.81,1.81,2.61,0.72,0.47,0.11,0.83,1.56,0.66,0.62,6.71,14.98,10.85,7.35,13.65,1.62,0.81,18.13,169.06,-2.28,1.50,122.90,109.50,15.66
Bryson Warren,2024,0,G-League,2004,20,6.3,75,27,2,17.40,6.93,2.52,6.67,0.38,1.41,4.33,0.33,0.30,0.37,0.80,0.26,1.22,1.48,1.78,0.63,0.26,1.00,1.00,0.51,0.48,1.54,7.06,4.34,13.41,12.77,1.74,1.29,18.67,150.26,1.04,1.04,101.60,119.70,9.33
Jacky Cui,2024,0,China,2003,21,6.5,77,56,51,34.50,15.77,5.73,12.45,0.46,1.73,4.75,0.37,2.57,3.29,0.78,1.59,4.27,5.86,3.09,1.59,0.38,2.32,2.57,0.57,0.53,5.58,14.04,9.94,14.25,14.32,2.43,1.12,21.59,160.78,-0.78,1.27,112.40,110.80,15.41
Quinn Ellis,2024,0,Italy,2003,21,6.4,76,26,8,21.40,6.35,2.12,6.04,0.35,0.73,2.73,0.27,1.38,1.96,0.71,0.77,2.12,2.88,2.62,0.77,0.23,1.69,2.35,0.46,0.41,4.17,12.82,8.25,18.68,19.69,1.93,1.03,18.83,132.38,0.24,1.05,94.30,115.90,8.34
Lucas Dufeal,2024,0,France-2,2003,21,6.6,78,36,17,19.60,7.50,3.28,5.44,0.60,0.08,0.72,0.12,0.86,1.86,0.46,2.03,2.81,4.83,1.67,0.67,1.83,0.97,2.03,0.60,0.61,11.50,17.41,14.32,14.28,13.44,1.79,10.09,16.32,118.01,0.69,1.38,120.80,99.50,22.36
Miguel Allen,2023,0,Spain-3,2003,20,6-8,80,14,11,26.10,11.00,4.43,9.71,0.46,0.50,1.86,0.27,1.64,3.29,0.50,1.43,3.21,4.64,2.21,1.50,0.43,1.71,2.36,0.49,0.48,6.09,14.91,10.31,15.74,13.32,3.03,1.69,22.21,122.51,-0.90,1.13,102.00,93.50,16.90
Idrissa Ba,2023,0,France-2,2002,21,7-0,84,16,16,28.90,13.50,5.12,9.56,0.54,0.00,0.00,0.00,3.25,5.31,0.61,3.88,7.38,11.25,1.44,1.19,0.69,2.81,2.50,0.57,0.54,16.46,29.49,23.17,9.47,19.12,2.17,2.54,22.72,114.77,-6.62,1.41,106.20,91.10,21.61
Elian Benitez,2023,0,France-2,2003,20,5-11,71,33,33,31.50,21.70,7.36,16.39,0.45,1.03,3.30,0.31,5.94,8.00,0.74,0.88,3.52,4.39,6.97,2.09,0.03,3.61,2.82,0.55,0.48,3.25,13.41,8.26,42.53,15.33,3.41,0.09,33.27,150.35,3.30,1.32,112.20,97.90,26.25
William Beugre-Kassi,2023,0,France-2,2004,19,6-6,78,32,8,19.10,10.00,3.47,8.09,0.43,1.00,3.53,0.28,2.06,3.06,0.67,1.06,1.47,2.53,0.88,0.97,0.47,1.88,1.81,0.53,0.49,6.69,9.00,7.86,7.66,16.57,2.57,2.11,26.02,138.52,-6.60,1.24,97.60,98.90,15.61
Mihailo Boskovic,2023,0,Serbia,2002,21,6-10,82,28,26,27.80,13.14,4.54,11.86,0.38,2.50,7.50,0.33,1.57,2.43,0.65,1.29,4.57,5.86,1.21,0.71,1.46,1.32,2.43,0.51,0.49,5.46,19.64,12.50,8.02,9.28,1.40,5.61,24.03,136.29,-1.90,1.11,106.30,107.00,16.05
Michael Caicedo,2023,0,Spain,2003,20,6-6,78,26,1,14.20,3.65,1.31,3.27,0.40,0.58,1.58,0.37,0.46,0.62,0.75,0.42,1.27,1.69,0.92,0.81,0.15,1.15,1.58,0.52,0.49,3.51,10.72,7.08,10.65,24.58,3.03,1.14,15.29,151.59,-3.80,1.12,90.50,105.70,8.04
Sasa Ciani,2023,0,Croatia,2003,20,6-9,81,27,19,22.10,11.11,5.00,7.59,0.66,0.00,0.00,0.00,1.11,2.44,0.46,2.33,4.52,6.85,1.30,1.04,0.93,1.63,2.37,0.64,0.66,13.54,24.54,19.22,10.76,15.83,2.47,4.27,21.76,111.31,-3.42,1.46,115.60,95.50,22.93
Carlin Davison,2023,0,NZNBL,2003,20,6-5,77,9,9,27.70,11.22,4.67,8.67,0.54,0.22,1.44,0.15,1.67,2.44,0.68,2.11,4.89,7.00,3.00,2.33,0.44,2.11,2.56,0.58,0.55,8.09,18.89,13.47,15.18,17.81,3.95,1.40,17.83,137.41,-0.38,1.29,110.70,104.30,16.65
Thijs De Ridder,2023,0,Belgium,2003,20,6-8,80,32,4,20.50,10.78,4.19,8.00,0.52,0.66,1.62,0.40,1.75,2.59,0.68,2.50,3.44,5.94,0.53,0.69,0.69,0.69,2.69,0.59,0.56,14.78,21.34,17.98,5.45,6.99,1.97,4.07,23.77,160.20,-1.72,1.35,123.40,99.50,24.57
Ege Demir,2023,0,Turkey,2004,19,6-10,82,17,0,7.60,2.59,0.88,1.65,0.54,0.00,0.00,0.00,0.82,1.00,0.82,0.82,1.12,1.94,0.41,0.29,0.41,0.76,1.59,0.62,0.54,15.09,19.08,17.16,8.11,26.82,2.15,5.97,18.18,135.92,-6.42,1.57,108.80,114.50,14.60
Nikola Djurisic,2023,0,ABA,2004,19,6-8,80,24,22,28.10,13.12,4.46,10.79,0.41,0.92,3.79,0.24,3.29,4.79,0.69,0.46,2.50,2.96,3.71,1.04,0.12,3.12,2.88,0.51,0.46,2.16,11.01,6.74,22.54,19.50,1.97,0.45,26.72,134.18,-2.27,1.22,96.80,116.10,10.94
Ruben Dominguez,2023,0,Spain-2,2003,20,6-5,77,35,4,13.70,5.60,2.00,5.37,0.37,0.80,2.97,0.27,0.80,0.97,0.82,0.31,1.09,1.40,0.71,0.26,0.11,0.43,1.14,0.48,0.45,2.90,10.01,6.46,9.08,6.88,1.09,0.90,22.71,146.51,0.36,1.04,104.10,112.80,12.52
Quinn Ellis,2023,0,Italy-2,2003,20,6-4,76,35,32,30.20,11.14,4.06,10.06,0.40,1.03,3.54,0.29,2.00,2.89,0.69,0.77,3.69,4.46,4.26,1.26,0.23,2.54,2.34,0.49,0.46,2.95,14.81,8.73,25.99,18.33,2.29,0.77,21.79,138.68,0.97,1.11,97.70,105.00,13.81
Juan Francisco Fernandez,2023,0,Spain,2002,21,6-10,82,27,18,16.80,6.44,2.22,4.44,0.50,0.30,1.07,0.28,1.70,2.63,0.65,0.93,2.00,2.93,0.44,0.56,0.41,1.19,3.07,0.58,0.53,7.12,15.53,11.31,4.75,17.46,1.76,2.43,18.80,142.37,-5.17,1.45,103.40,121.00,11.69
Daniel Ifedi Ferreira Onwenu,2023,0,Brazil,2002,21,6-5,77,33,8,14.20,5.39,1.97,4.39,0.45,0.48,1.67,0.29,0.97,1.52,0.64,0.61,1.30,1.91,1.00,0.55,0.27,1.15,1.55,0.53,0.50,5.32,9.98,7.81,12.13,18.54,2.02,1.82,20.38,137.92,-3.37,1.23,98.90,105.40,11.83
Clement Frisch,2023,0,France,2002,21,6-7,79,31,1,11.80,4.48,1.61,3.03,0.53,0.39,0.94,0.41,0.87,1.03,0.84,0.77,1.48,2.26,0.87,0.48,0.06,0.81,1.32,0.64,0.60,8.36,15.21,11.88,12.36,18.79,2.18,0.51,17.39,178.95,-1.88,1.48,116.10,111.70,15.48
Sananda Fru,2023,0,Germany,2003,20,6-9,81,32,13,15.00,3.50,1.28,2.38,0.54,0.19,0.69,0.27,0.75,1.09,0.69,1.22,1.03,2.25,0.22,0.28,0.84,0.66,2.44,0.61,0.58,10.35,9.29,9.84,2.31,18.68,1.03,6.37,10.82,149.79,-3.44,1.47,115.50,115.40,10.02
Hassane Gueye,2023,0,France-2,2003,20,6-10,82,4,0,10.30,2.75,1.25,1.75,0.71,0.00,0.00,0.00,0.25,0.75,0.33,0.75,0.75,1.50,0.25,0.00,0.00,1.50,2.50,0.66,0.71,9.44,11.04,10.18,4.56,41.90,0.00,0.00,16.22,104.76,-13.06,1.57,77.10,117.60,2.18
Ondrej Hanzlik,2023,0,Spain,2002,21,6-7,79,22,6,7.80,2.09,0.77,2.41,0.32,0.55,2.05,0.27,0.00,0.05,0.00,0.18,0.59,0.77,0.32,0.23,0.00,0.18,0.50,0.43,0.43,2.83,9.04,5.96,6.74,6.96,1.56,0.00,15.59,58.74,0.38,0.87,92.70,113.90,6.42
Tomislav Ivisic,2023,0,ABA,2003,20,7-0,84,28,26,16.20,6.18,2.71,5.18,0.52,0.11,0.50,0.21,0.64,0.82,0.78,1.21,2.68,3.89,0.89,0.32,0.32,1.11,2.50,0.56,0.53,9.67,22.11,15.78,9.98,16.66,1.06,2.15,19.09,152.10,-3.10,1.19,106.60,116.50,13.13
Zvonimir Ivisic,2023,0,ABA,2003,20,7-2,86,21,2,10.60,5.57,2.19,3.90,0.56,0.48,1.43,0.33,0.71,1.14,0.63,1.29,2.19,3.48,0.24,0.29,1.00,0.90,2.33,0.63,0.62,15.05,27.19,20.94,4.48,17.03,1.43,10.00,22.91,151.93,-6.83,1.43,112.40,109.30,21.35
Ilias Kamardine,2023,0,France-2,2003,20,6-4,76,34,8,22.50,8.29,2.88,7.44,0.39,1.18,3.44,0.34,1.35,1.74,0.78,0.59,1.85,2.44,2.35,1.26,0.24,1.18,2.24,0.51,0.47,3.28,10.13,6.74,18.57,12.54,3.11,1.16,20.01,150.89,1.79,1.11,106.00,106.60,14.07
Konstantin Kostadinov,2023,0,Spain-2,2003,20,6-8,80,39,8,17.00,6.62,2.54,4.90,0.52,0.46,1.23,0.38,1.08,1.62,0.67,1.15,2.21,3.36,0.62,0.46,0.18,0.49,1.92,0.59,0.57,8.77,16.30,12.59,6.12,7.99,1.54,1.28,17.05,156.00,-0.45,1.35,125.80,103.50,17.85
Alexander Kovlyar,2023,0,Latvia,2002,21,6-3,75,32,13,23.60,13.03,4.75,9.28,0.51,2.00,4.69,0.43,1.53,2.12,0.72,0.38,2.62,3.00,4.06,1.47,0.09,1.41,2.22,0.64,0.62,1.92,13.60,7.73,29.14,12.10,3.28,0.45,23.04,165.90,5.55,1.40,126.50,97.40,23.84
Liutauras Lelevicius,2023,0,Lithuania,2003,20,6-7,79,38,31,29.10,14.97,4.84,10.79,0.45,1.84,4.87,0.38,3.45,4.05,0.85,0.79,2.92,3.71,2.68,0.89,0.26,2.11,1.74,0.60,0.53,3.66,12.55,8.27,17.73,14.34,1.71,0.92,23.63,167.78,-1.12,1.39,121.00,101.20,19.07
Gilad Levy,2023,0,Israel,2002,21,7-1,85,12,2,5.10,2.25,0.92,1.33,0.69,0.00,0.17,0.00,0.42,0.58,0.71,0.42,0.58,1.00,0.25,0.17,0.08,0.33,1.25,0.71,0.69,10.14,14.23,12.18,9.31,17.33,1.84,1.86,18.24,140.18,-3.45,1.69,124.30,103.10,16.80
Ruben Lopez,2023,0,Spain-2,2002,21,6-8,80,14,9,17.10,6.79,2.64,6.00,0.44,0.64,2.93,0.22,0.86,1.29,0.67,0.57,2.36,2.93,0.86,0.64,0.36,0.71,1.43,0.52,0.49,3.80,17.15,10.18,9.36,9.81,2.11,2.58,20.14,132.67,-0.83,1.13,105.80,105.00,15.34
Assemian Moulare,2023,0,France-2,2003,20,6-0,72,29,0,11.70,4.86,1.72,3.76,0.46,0.93,2.28,0.41,0.48,0.79,0.61,0.28,1.14,1.41,1.10,0.52,0.07,0.79,1.14,0.59,0.58,2.72,11.58,7.08,15.81,16.18,2.32,0.63,18.74,147.65,-0.48,1.29,110.60,109.10,14.74
Ousmane N'Diaye,2023,0,Spain-3,2004,19,6-11,83,26,20,22.60,9.15,3.31,8.12,0.41,1.23,3.77,0.33,1.31,1.85,0.71,2.12,5.38,7.50,0.35,0.62,0.81,1.35,2.15,0.51,0.48,11.27,26.20,19.07,2.81,13.10,1.44,3.73,21.03,144.24,-4.85,1.13,102.40,103.30,16.99
David Okwera,2023,0,NBL,2002,21,7-0,84,27,12,14.30,4.19,1.63,3.59,0.45,0.41,1.52,0.27,0.52,0.74,0.70,1.04,2.37,3.41,0.93,0.26,0.41,0.96,1.26,0.53,0.51,8.23,17.85,13.16,9.61,19.73,0.91,2.59,15.10,142.19,-2.42,1.16,103.60,108.00,11.41
Romain Parmentelot,2023,0,France-3,2004,19,6-3,75,36,29,22.80,10.53,3.72,8.14,0.46,0.78,2.36,0.33,2.31,3.33,0.69,0.78,1.78,2.56,2.92,1.00,0.14,2.00,2.25,0.55,0.51,4.27,10.43,7.25,24.15,17.23,2.36,0.69,24.22,147.84,-0.25,1.29,103.80,105.90,16.95
Ivan Perasovic,2023,0,ABA,2002,21,6-7,79,25,16,14.00,3.80,1.48,2.84,0.52,0.28,1.16,0.24,0.56,0.60,0.93,0.52,1.16,1.68,0.64,0.40,0.32,0.24,1.28,0.61,0.57,4.68,11.19,7.83,7.83,7.18,1.57,2.84,11.68,169.58,1.34,1.34,125.60,118.90,12.36
Mantas Rubstavicius,2023,0,Lithuania,2002,21,6-6,78,40,24,17.70,6.92,2.02,4.40,0.46,0.68,2.10,0.32,2.20,2.77,0.79,0.40,1.40,1.80,1.10,0.45,0.10,0.93,2.85,0.62,0.54,3.06,11.16,7.03,10.18,14.13,1.44,0.69,17.94,157.44,-1.10,1.57,119.10,115.40,12.23
Musa Sagnia,2023,0,Spain,2003,20,6-8,80,19,7,12.70,3.89,1.68,2.47,0.68,0.32,0.63,0.50,0.21,0.37,0.57,0.89,1.42,2.32,0.32,0.42,0.26,0.47,1.63,0.74,0.75,8.60,15.10,11.69,3.93,15.23,1.71,2.23,10.95,175.23,-1.96,1.57,130.80,117.70,13.91
Birahima Sylla,2023,0,France-2,2003,20,6-7,79,36,36,29.10,11.36,4.64,10.97,0.42,0.78,3.92,0.20,1.31,1.92,0.68,0.56,3.25,3.81,2.56,2.22,0.50,2.22,2.67,0.48,0.46,2.28,12.78,7.64,14.26,15.83,3.88,1.47,21.23,130.25,-1.74,1.04,93.30,95.40,13.85
Hugo Toom,2023,0,Latvia,2002,21,6-7,79,28,16,20.50,10.00,3.93,7.14,0.55,0.36,1.39,0.26,1.79,2.82,0.63,1.61,1.64,3.25,0.96,0.36,0.29,0.71,2.57,0.60,0.58,9.15,9.66,9.40,8.15,7.85,0.92,1.59,20.72,143.93,-0.35,1.40,121.80,103.70,17.86
Armel Traore,2023,0,France,2003,20,6-8,80,27,0,13.10,6.11,2.52,4.59,0.55,0.48,1.15,0.42,0.59,1.11,0.53,1.33,1.93,3.26,0.41,0.30,0.19,1.07,2.00,0.60,0.60,13.53,16.85,15.32,5.48,17.45,1.21,1.47,22.29,150.11,-6.07,1.33,107.30,108.90,15.68
Ricards Vanags,2023,0,Latvia,2002,21,6-8,80,29,25,26.60,13.52,4.97,10.55,0.47,1.28,4.31,0.30,2.31,2.69,0.86,1.21,3.62,4.83,1.00,0.69,0.31,1.66,2.48,0.58,0.53,5.69,16.00,11.01,7.43,12.36,1.36,1.14,23.41,162.56,-3.69,1.28,107.00,111.10,15.69